trigram,chi-square
"('misacylated', 'tRNA', 'L-seryl-tRNA')",546755267.0233887
"('SulA', 'causes', 'rapid')",545374572.881593
"('causes', 'rapid', 'cessation')",545374572.881593
"('renatures', 'cruciform', 'structure')",544534873.6434333
"('tRNA', ""5'-leader"", 'removal')",543201246.0822444
"('LPG', 'synthesis', 'contributes')",536234216.2837555
"('Putative', 'lactococcus', 'lactis')",536071453.8828268
"('25-like', 'lysozyme', 'endolysin')",532689342.85142624
"('Baseplate', 'hub', 'distal')",526110428.5066399
"('first', 'cut', 'periplasmically')",525470391.3578129
"('Relaxase', 'mobilization', 'nuclease')",521692169.2701338
"('enzymatic', 'reaction', 'provides')",519608817.8965434
"('greatly', 'stimulates', 'nuclease')",516504896.0224198
"('ExbB', 'proton', 'channel')",511019482.76157224
"('PerC', 'transcriptional', 'activator')",510616904.1461796
"('CoA-substrate-specific', 'enzyme', 'activase')",510563430.7773628
"('enzyme', 'scavenges', 'exogenous')",510563430.7484565
"('Glycogen', 'debranching', 'enzyme')",510563430.7438458
"('decapping', 'enzyme', 'C-term')",510563430.7438458
"('every', 'two', 'electrons')",509885390.12239784
"('processive', 'ATP-dependent', 'bidirectional')",508361343.7083997
"('first', 'committed', 'step')",506394560.6856246
"('contain', 'sequences', 'complementary')",503007102.8878789
"('oligopeptide', 'nickel', 'transport')",502251930.8073448
"('post-translocational', 'extracellular', 'folding')",501668596.51623875
"('four', 'hydrogen', 'ions')",500143765.8360434
"('fully', 'assembled', '30S')",493931299.88235587
"('queuine', 'precursor', '7-aminomethyl-7-deazaguanine')",492235509.30499125
"('contain', 'LysM', 'invasin')",491768482.63694096
"('fibre', 'adhesin', 'Gp38')",490837113.98193353
"('Formylglycine-generating', 'sulfatase', 'enzyme')",489068801.9991925
"('tRNA', 'convert', 'PreQ1')",486004678.90571696
"('N-acyl', 'diglyceride', 'group')",482745641.1393278
"('supervised', 'orthologous', 'group')",478629168.9497876
"('substrate', 'specificity', 'determines')",478534524.654686
"('anaerobic', 'nitric', 'oxide')",478485129.9896891
"('QueT', 'transporter,4Fe-4S', 'single')",472061924.74679905
"('direct', 'phosphoryl', 'transfer')",471313417.07143825
"('termination', 'codons', 'UAG')",470532452.6898619
"('PFAM', 'Formylglycine-generating', 'sulfatase')",462954623.86386734
"('PFAM', 'Mo-dependent', 'nitrogenase')",462954622.3508648
"('PFAM', 'Nitrilase', 'cyanide')",462954622.1035429
"('PFAM', 'UBA', 'THIF-type')",462954622.0894952
"('PFAM', 'Neutral', 'alkaline')",462954622.0894952
"('PFAM', 'KWG', 'Leptospira')",462954622.0894952
"('PFAM', 'Hemolysin-type', 'calcium-binding')",462954622.0894952
"('-dependent', 'epimerase', 'dehydratase')",461573545.9658837
"('phosphoryl', 'donor', 'instead')",460658730.9032062
"('peptidase', 'C60', 'sortase')",459262798.4480603
"('sodium', 'solute', 'symporter')",458945367.53848255
"('Gene', '25-like', 'lysozyme')",458143858.04023874
"('assembled', '30S', 'particle')",452847313.7643098
"('temperature', 'also', 'triggers')",452763796.16835237
"('P4-like', 'prophage', 'CP4-57')",451698468.78703445
"('Retron-type', 'reverse', 'transcriptase')",451401738.1772884
"('COGs', 'COG1122', 'ABC-type')",451344473.89050335
"('YqaJ-like', 'viral', 'recombinase')",450672988.402408
"('Cysteine', 'protease', 'Prp')",447362680.19179636
"('Fe3', '-siderophores', 'transport')",446448513.87086064
"('TRAP-type', 'C4-dicarboxylate', 'transport')",446446749.3276404
"('aldo', 'keto', 'reductase')",443694568.4944957
"('Nitrite/Sulfite', 'reductase', 'ferredoxin-like')",443694568.474147
"('pentaerythritol', 'trinitrate', 'reductase')",443694568.474147
"('iron', 'sulfur', 'cluster')",443140321.0500116
"('Aspartate', 'carbamoyltransferase', 'regulatory')",443011960.45342505
"('revised', 'gene', 'model')",441176300.34575313
"('current', 'gene', 'model')",441176300.34575313
"('auxin', 'efflux', 'carrier')",439127371.3070512
"('Phosphoadenosine', 'phosphosulfate', 'reductase')",437018409.8201628
"('Inhibitor', 'YjgF', 'Family')",436299658.17125887
"('branched', 'alpha-glucan', 'biosynthetic')",433019206.8963304
"('Chi-altered', 'holoenzyme', 'produces')",431200418.4612212
"('dithiol-disulfide', 'exchange', 'reactions')",428847994.9635296
"('intrinsic', 'GTPase', 'hydrolysis')",427448446.82740057
"('Haloacid', 'dehalogenase-like', 'hydrolase')",426924896.60726535
"('endonucleolytically', 'cleaves', 'linear')",426604105.3532265
"('Leucine', 'rich', 'repeats')",425872864.38808453
"('polypeptide', 'chains', 'across')",423799692.00937796
"('strand-specific', 'metallo-endoribonuclease', 'involved')",423778918.2530228
"('COG0463', 'Glycosyltransferases', 'involved')",423778918.24114263
"('recombination,2Fe-2S', 'iron-sulfur', 'cluster')",421916707.3148541
"('transient', 'iron-sulfur', 'cluster')",421916707.3148541
"('Iron-containing', 'alcohol', 'dehydrogenase')",421077858.58656436
"('ABC-type', 'multidrug', 'transport')",419857766.8573268
"('Electron', 'transfer', 'flavoprotein')",419763519.46893615
"('Ligates', 'lysine', 'onto')",415523483.8166439
"('DnaJ', 'molecular', 'chaperone')",413313856.4553571
"('Peptide', 'chain', 'release')",410941288.9554276
"('nicotinic', 'acid', 'adenine')",410686909.3219441
"('serine', 'protease,3-deoxy-D-manno-octulosonate', '8-phosphate')",410196259.93360543
"('Tripartite', 'tricarboxylate', 'transporter')",409321641.0410747
"('junction', 'intermediates', 'made')",408106983.4467575
"('target', 'invading', 'nucleic')",404676096.3993167
"('COG1010', 'Precorrin-3B', 'methylase')",404435077.16268885
"('suggesting', 'BluF', 'may')",395546392.90361553
"('Degrades', 'late', 'enterobacteria')",393384937.1173556
"('Tfp', 'pilus', 'assembly')",392180723.81801987
"('COG', 'COG3344', 'Retron-type')",390451227.1626328
"('COG', 'COG3757', 'Lyzozyme')",390451221.690266
"('COG', 'COG0346', 'Lactoylglutathione')",390451220.2606304
"('COG', 'COG1951', 'Tartrate')",390451220.25745714
"('COG', 'KOG2845', 'Activating')",390451220.25745714
"('COG', 'COG2942', 'N-acyl-D-glucosamine')",390451220.25745714
"('COG', 'COG1974', 'SOS-response')",390451220.25745714
"('COG', 'COG0025', 'NhaP-type')",390451220.25745714
"('COG', 'COG0845', 'Membrane-fusion')",390451220.25745714
"('COG', 'COG0716', 'Flavodoxins')",390451220.25745714
"('COG', 'COG0664', 'cAMP-binding')",390451220.25745714
"('transposase', 'IS891', 'IS1136')",390376501.9573072
"('Peptidase', 'S24', 'S26A')",388120613.8705964
"('Glucosamine-6-phosphate', 'isomerase', 'deaminase')",385916157.6176632
"('PFAM', 'ADP-ribosylation', 'Crystallin')",385795517.5959559
"('longer', 'binds', 'GTP')",384841661.95821494
"(""3'-terminal"", 'hydroxyl', 'group')",379461267.280685
"('Low', 'molecular', 'weight')",377486097.989817
"('RecA-mediated', 'strand', 'transfer')",374934721.3147888
"('CAAX', 'protease', 'self-immunity')",367975777.8507768
"('Two', 'component', 'signalling')",367060434.9437663
"('The', 'MdtABC', 'tripartite')",365428647.9020985
"('acid', 'adenine', 'dinucleotide')",363751543.2357586
"('extracellular', 'polysaccharide', 'biosynthetic')",362258449.457852
"('Cro/C1-type', 'HTH', 'DNA-binding')",356134578.97046477
"('short-chain', 'alcohol', 'dehydrogenases')",355503424.2796434
"('Regulates', 'intracellular', 'CTP')",355503417.2387056
"('Purine', 'catabolism', 'regulatory')",354409567.9648971
"('CRISPR', 'clusters', 'contain')",349239276.67235893
"('multichain', 'enzyme', 'responsible')",348992700.9693474
"('four', 'ribonucleotide', 'triphosphates')",348038536.7510408
"('6-pyruvoyl', 'tetrahydropterin', 'synthase')",347151915.56321484
"('protein,6-pyruvoyl', 'tetrahydropterin', 'synthase')",347151915.56321484
"('haloacid', 'dehalogenase-like', 'hydrolase')",345811097.40151536
"('COG', 'COG0175', '3-phosphoadenosine')",341644816.8843664
"('SPTR', 'Heat', 'shock')",340100759.12444264
"('thiamine', 'diphosphate-dependent', 'decarboxylation')",338773851.94079244
"('ion', 'channel', 'L-glutamate-')",338381101.83519965
"('Ligated', 'ion', 'channel')",338381101.83519965
"('additional', 'enzymatic', 'reactions')",338270295.6680753
"('G-specific', 'adenine', 'glycosylase')",336792717.3737736
"('Bacterial', 'extracellular', 'solute-binding')",333181379.45656025
"('Staphylococcal', 'nuclease', 'homologue')",332579340.7032051
"('Cell', 'surface', 'antigen')",331375452.4245633
"('PTS', 'HPr', 'component')",330683754.3518342
"('Potassium', 'transporter', 'peripheral')",327457850.55687904
"('enamine', 'imine', 'intermediates')",327224742.26052016
"('normal', 'SOS', 'inducibility')",326482734.96286017
"('COG', 'COG5295', 'Autotransporter')",325376015.283485
"('system', 'phoR', 'phoB')",323912007.307744
"('system', 'DpiA', 'DpiB')",323912002.9249696
"(',23S', 'rRNA-intervening', 'sequence')",323256482.6544776
"('transcriptional', 'regulator,37-kD', 'nucleoid-associated')",322641763.78666383
"('A-like', 'lectin/glucanases', 'superfamily')",322220560.457669
"('regulates', 'PTS-catalyzed', 'carbohydrate')",321680624.6710722
"('Its', 'substrate', 'specificity')",319023222.9822075
"('lactose', 'operon', 'repressor')",318274242.4829456
"('D3112p03', 'Bacteriophage', 'D3112')",316089763.92984474
"('low', 'D-mannonate', 'dehydratase')",315745146.1287916
"('dependent', 'epimerase', 'dehydratase')",311834375.810215
"('NADH', 'flavin', 'oxidoreductase')",310301365.8589885
"('flavin', 'oxidoreductase', 'NADH')",310300958.59905493
"('membrane', 'autotransporter', 'barrel')",308993942.61629784
"('DNA/RNA', 'non-specific', 'endonuclease')",308141011.18076503
"('Trypsin-like', 'serine', 'proteases')",307647351.78676826
"('transmembrane', 'signaling', 'receptor')",306338057.4949296
"('GGPP', 'synthase', 'family,2-oxoacid')",303753726.1802839
"('Pyruvate', '2-oxoglutarate', 'dehydrogenase')",303113446.0110459
"('oxidative', 'pentose-phosphate', 'pathway')",302317873.0290554
"('molecular', 'chaperone', 'homology')",301689874.27066386
"('high-affinity', 'ATP-driven', 'potassium')",299956013.8083898
"('flagellum-dependent', 'cell', 'motility')",298092934.0561369
"('ERF', 'superfamily,37-kD', 'nucleoid-associated')",297016786.089683
"('reconstituted', '70S', 'ribosomes')",296354737.176631
"('FOG', 'TPR', 'repeat')",295343732.86204165
"('Mor', 'transcription', 'activator')",295253928.9958316
"('sorbose', 'subfamily', 'IIB')",294435738.3606792
"('COG', 'COG3119', 'Arylsulfatase')",292838414.4501994
"('amide', 'C-N', 'hydrolases')",292766551.0427342
"('Late', 'control', 'gene')",292653140.76124126
"('Possible', 'lysine', 'decarboxylase')",290866438.3823294
"('phosphorylases', 'share', 'catalytic')",289114230.2167296
"('handed', 'beta', 'helix')",288932913.50587493
"('vitamin', 'uptake', ""transporter,3'-5"")",287676162.992035
"('COG0664', 'cAMP-binding', 'proteins')",286667769.9752844
"('low', 'temperature', 'also')",285956081.4275327
"('yield', 'formylglycinamidine', 'ribonucleotide')",284402738.81384945
"('invading', 'nucleic', 'acids')",283738430.86436415
"('Nucleoside-diphosphate-sugar', 'pyrophosphorylase', 'involved')",282519278.15981704
"('prophage', 'CP-933X', 'Escherichia')",282311543.1499602
"('prevents', 'flagellin', 'subunits')",280660597.9774286
"('Zinc', 'dependent', 'phospholipase')",277951518.86276114
"('synthase', 'cystathionine', 'beta-')",277716958.3489295
"('cystathionine', 'beta-', 'synthase')",277716958.3489295
"('Bacteriophage', 'Lambda', 'NinG')",275937093.2380464
"('Can', 'perform', 'chaperone')",274525607.87543315
"('PTS-catalyzed', 'carbohydrate', 'uptake')",273637414.07959974
"('recognition', 'complex', 'composed')",272959624.4339327
"('Leucine', 'rich', 'repeat')",272919261.11359054
"('prophage', 'CPS53', 'excision')",271019080.4848977
"('DOXP', 'MEP', 'pathway')",266751064.3213569
"('COG3093', 'Plasmid', 'maintenance')",266706601.01629326
"('clusters', 'contain', 'sequences')",266692427.67648625
"('COG3385', 'FOG', 'Transposase')",266627567.7375115
"('TIGRFAM', 'deoxycytidine', 'triphosphate')",266257764.10965857
"('nitric', 'oxide', 'reductase')",266216739.89340135
"('protein,23S', 'rRNA-intervening', 'sequence')",264502397.54771617
"('BluF', 'may', 'serve')",263697594.7719276
"('alcohol', 'dehydrogenase,4Fe-4S', 'single')",262256624.67499554
"('TraM', 'recognition', 'site')",261740525.04923165
"('Formylglycine-generating', 'sulfatase', 'enzyme,2-')",261440184.50000194
"('Hydrolyzes', 'single-stranded', 'polyribonucleotides')",256646857.48851797
"('several', 'intracellular', 'metabolites')",255962464.1437453
"('Ferredoxin', 'thioredoxin', 'reductase')",254423154.48475128
"('endoplasmic', 'reticulum', 'membrane')",254120883.073151
"('primary', 'rRNA', 'transcript')",254080566.15551746
"('mechanosensitive', 'ion', 'channel')",253787160.15797144
"('UMP', 'catabolic', 'process')",253764010.68139508
"('D-amino', 'acid', 'oxidases')",251711340.98400795
"('pseudouridine', 'synthase', 'RsuA')",251381728.14406794
"('isoleucine', 'patch', 'superfamily')",250615991.45176694
"('protein,4Fe-4S', 'iron', 'sulfur')",248035926.7823476
"('COG0265', 'Trypsin-like', 'serine')",246120344.54301733
"('DEAD', 'box', 'helicase')",245701281.95895633
"('N-terminal', 'dipeptides', 'sequentially')",245488298.51842827
"('sugar', 'substrates', 'concomitantly')",245174772.79237065
"('non-homologous', 'end', 'joining')",245105210.7000855
"('form', 'Tyr-', 'AMP')",245104038.59918094
"('The', 'Chi-altered', 'holoenzyme')",242960606.096345
"('Rhodanese', 'Homology', 'Domain')",241981323.48094076
"('A/B', 'Barrel', 'Domain')",241981323.4792451
"('Cleaved', 'Adhesin', 'Domain')",241981323.4792451
"('insertion', 'element', 'transposase')",241526156.47242665
"('gluconate', 'operon', 'transcriptional')",240265139.52220535
"('late', 'control', 'gene')",239796464.69701362
"('Intron', 'encoded', 'nuclease')",239696393.59671274
"('Putative', 'threonine/serine', 'exporter')",237736034.72356248
"('Dinuclear', 'metal', 'center')",235644659.42850575
"('ZIP', 'Zinc', 'transporter')",233898078.89065105
"('TIGRFAM', 'Diguanylate', ""cyclase,3'-to-5"")",232975545.32126462
"('Ogr/Delta-like', 'zinc', 'finger,3')",231869605.40434104
"('DEAD-like', 'helicases', 'superfamily')",231534489.48699963
"('PFAM', 'ErfK', 'YbiS')",231477310.54650235
"('PFAM', 'nitrogen-fixing', 'NifU')",231477310.54650235
"('The', 'heterodimer', 'acts')",231192354.67970893
"('antitoxin', 'RnlB', 'causes')",230737827.10685167
"('sliding', 'clamp', 'loading')",230379876.4083272
"('COG0641', 'Arylsulfatase', 'regulator')",229265743.63229898
"('Spore', 'coat', 'associated')",228234753.522575
"('factor', 'XdhC', 'CoxF')",227724613.7605455
"('Flagellar', 'rod', 'assembly')",226581967.46094918
"('COG1131', 'ABC-type', 'multidrug')",225886925.47826752
"('Mechanosensitive', 'ion', 'channel')",225591111.74238142
"('unsaturated', 'fatty', 'acids')",223767098.80618483
"('Alkyl', 'hydroperoxide', 'reductase')",221847575.57153514
"('Divergent', 'polysaccharide', 'deacetylase')",221577481.93837568
"('cluster', 'protein-associated', 'redox')",218771337.16048482
"('phage', 'phi', 'LC3')",218232493.33718845
"('activity,4Fe-4S', 'single', 'cluster')",218067692.20735648
"('C4-type', 'zinc', 'finger')",217285369.7634005
"('lambda', 'head', 'decoration')",217063306.87667122
"('adenine', 'dinucleotide', 'binding,3')",216783756.08012873
"('wraps', 'around', 'one')",216519585.6635695
"(',4Fe-4S', 'single', 'cluster')",215859983.8151552
"(""'dna"", 'polymerase', 'iii')",213460174.15892035
"('newly', 'synthesized', 'proteins')",211697022.86089268
"('TonB-linked', 'outer', 'membrane')",210814300.74297467
"('nuclear', 'chromosome', 'segregation')",209331379.09657604
"('zinc', 'beta', 'ribbon')",209301305.9278047
"('Mazg', 'nucleotide', 'pyrophosphohydrolase')",208642854.22607186
"('biological', 'process', 'described')",208287720.62356436
"('Mediates', 'riboflavin', 'uptake')",207775423.6610072
"('acyloin', 'condensation', 'reaction')",206129710.21396628
"('RNA', 'molecules', 'used')",203551790.31206676
"('Acetyl-CoA', 'hydrolase/transferase', 'C-terminal')",202691852.10263216
"('active', 'site', 'deprotonates')",201543983.04189882
"('nucleophile', 'active', 'site')",201543983.04189882
"('glucosamine-6P', 'using', 'glutamine')",201087822.40466118
"('Antibiotic', 'biosynthesis', 'monooxygenase')",197773194.78689432
"('large', 'acid-insoluble', 'oligonucleotides')",197773192.63842517
"('precursor', 'transcript', 'even')",196894201.92451677
"('lactococcus', 'lactis', 'phage')",196837147.13106066
"('small', 'acid-soluble', 'oligonucleotides')",196811958.13759306
"('IS66', 'Orf2', 'like')",195889640.44066274
"('leucine-', 'rich', 'repeat')",195465107.93832764
"('COG', 'COG0494', 'NTP')",195225609.63041842
"('COG', 'COG0671', 'Membrane-associated')",195225608.14379746
"('COG', 'COG0028', 'Thiamine')",195225605.20622426
"('major', 'building', 'blocks')",194697615.92832574
"('gp36', 'major', 'capsid-like')",194697615.2666983
"('phi-C31', 'gp36', 'major')",194697615.2666983
"('COGs', 'COG4383', 'Mu-like')",193936496.87151152
"('two-step', 'reaction', 'proline')",193927634.97679418
"('signal', 'recognition', 'particle')",192742816.4400076
"('P-loop', 'containing', 'region')",192055713.58904612
"('alpha-glucan', 'biosynthetic', 'pathway')",190942680.66422704
"('Small', 'integral', 'membrane')",190624180.03037584
"('Uncharacterised', 'nucleotidyltransferase,5-formyltetrahydrofolate', 'cyclo-ligase')",190385304.8432348
"('strand', 'transfer', 'reactions')",189841489.93528548
"('purine', 'ribonucleoside', 'salvage')",189445890.6142428
"('lactis', 'phage', 'r1t')",188635621.2157802
"('Helix-turn-helix', 'XRE-family', 'like')",188580945.6240657
"('second', 'double', 'bond')",187822293.59023818
"('superfamily,37-kD', 'nucleoid-associated', 'bacterial')",186570408.75047147
"('score,37-kD', 'nucleoid-associated', 'bacterial')",186570408.75047147
"('regulator,37-kD', 'nucleoid-associated', 'bacterial')",186570408.75047147
"('protein,37-kD', 'nucleoid-associated', 'bacterial')",186570408.75047147
"('family,37-kD', 'nucleoid-associated', 'bacterial')",186570408.75047147
"('8.87,37-kD', 'nucleoid-associated', 'bacterial')",186570408.75047147
"('2,37-kD', 'nucleoid-associated', 'bacterial')",186570408.75047147
"('intracellular', 'CTP', 'levels')",185480035.67485762
"('catalyzing', 'branch', 'migration')",185081594.09178892
"('COG1653', 'ABC-type', 'sugar')",183882165.36958212
"('Ser', 'Thr', 'phosphatase')",182583175.3651233
"('misacylated', 'Cys-', 'tRNA')",182255592.97106037
"('Large', 'exoproteins', 'involved')",181619534.68266398
"('SEC-C', 'Motif', 'Domain')",181485991.86406752
"('sugar', 'phosphotransferase', 'system')",181450984.39015517
"('short', 'palindromic', 'repeat')",180802358.26657632
"('Fe-S', 'scaffold', 'assembly')",180695256.9335563
"('COG0834', 'ABC-type', 'amino')",180537788.0441319
"('double-strand', 'break', 'repair')",180182631.89194575
"('Septum', 'formation', 'initiator')",178855758.17060408
"('Specifically', 'dimethylates', 'two')",178459880.84467408
"('growing', 'fatty', 'acid')",178211884.06365606
"('transmembrane', 'region,4Fe-4S', 'iron')",177587279.29875287
"('oxide', 'reductase', 'flavorubredoxin')",177477942.1309966
"('Also', 'exhibits', 'THF-')",176477168.4790441
"('1,23S', 'rRNA-intervening', 'sequence')",176371850.5495167
"('enzymes', 'acetolactate', 'synthase')",176345322.51208284
"('anaerobic', 'ribonucleoside-triphosphate', 'reductase')",175803740.79468834
"('ATP-binding', 'sugar', 'transporter')",173755051.3569751
"('COG', 'COG0463', 'Glycosyltransferases')",173618361.10325393
"(',6-pyruvoyl', 'tetrahydropterin', 'synthase')",173581329.24254477
"('8.87,6-pyruvoyl', 'tetrahydropterin', 'synthase')",173581329.24254477
"('M1,6-pyruvoyl', 'tetrahydropterin', 'synthase')",173581329.24254477
"('single-stranded', 'polyribonucleotides', 'processively')",171097904.6617165
"('termination', 'factor', 'nusG')",170794104.59406686
"('one-carbon', 'groups', 'required')",169207751.82307675
"('Glyceraldehyde', '3-phosphate', 'dehydrogenase')",168396358.6788362
"('Overexpression', 'causes', 'cleavage')",168374474.86301544
"('two-step', 'NADP-dependent', 'conversion')",168297931.6013106
"('COG', 'COG3210', 'Large')",167336235.54974532
"('Integrase', 'catalytic', 'region')",167277284.67278835
"('Tripartite', 'ATP-independent', 'periplasmic')",166714587.0940377
"('holliday', 'junction', 'resolvase')",165930531.4457119
"('Cobaltochelatase', 'CobS', 'subunit')",165588139.70234135
"('GalF', 'subunit', 'composes')",165588139.7012771
"('RecT', 'family,37-kD', 'nucleoid-associated')",164877053.22210318
"('rectale', 'Gene', 'description')",163602941.2607337
"('prohead', 'serine', 'protease')",163013906.0914847
"('PFAM', 'Phosphate', 'acetyl')",162726224.44276157
"('COG', 'COG3291', 'FOG')",162688175.0632932
"('specific', '2-hydroxyacid', 'dehydrogenase')",162382193.35798782
"('GDP-mannose', 'mannosyl', 'hydrolase')",162229730.7723549
"('SUF', 'system', 'FeS')",161956003.15703455
"('IPR009708', 'Bacteriophage', 'A118')",158045089.2250455
"('Bacteriophage', 'phiYeO3-12', '1.45')",158044881.466646
"('Has', 'low', 'D-mannonate')",157871583.89300945
"('Isoprenylcysteine', 'carboxyl', 'methyltransferase')",156500642.9360541
"('mRNA', 'yielding', 'nucleioside')",154816007.0696667
"('SWIM', 'zinc', 'finger')",154558523.71221232
"('homoserine', 'transmembrane', 'transporter')",153688944.610736
"('maintenance', 'system', 'killer')",151833754.53986
"('cluster', 'synthesis', 'onto')",151376464.81011105
"('lytic', 'murein', 'transglycosylase')",151150341.9897956
"('COG4397', 'Mu-like', 'prophage')",151116409.75909358
"('chains', 'using', 'ADP-glucose')",150815870.40548053
"('asymmetric', 'cellular', 'division')",150306799.3266461
"('ferroxidase', 'center', 'binds')",149433197.3703651
"(""3'-terminal"", 'hydroxyl', ""group,3'-5"")",149411906.0256765
"('Abortive', 'infection', 'bacteriophage')",148823817.65730157
"(""operon,2'-deoxycytidine"", ""5'-triphosphate"", 'deaminase')",148740277.70300525
"(""domain,2'-deoxycytidine"", ""5'-triphosphate"", 'deaminase')",148740277.70300525
"(""amido-N-donor,2'-deoxycytidine"", ""5'-triphosphate"", 'deaminase')",148740277.70300525
"(""Exonuclease,2'-deoxycytidine"", ""5'-triphosphate"", 'deaminase')",148740277.70300525
"('epsilon', 'subunits', 'eIF-2Bgamma')",148585411.54690638
"('XRE-family', 'like', 'proteins')",148555256.73195687
"('Phosphoenolpyruvate-dependent', 'sugar', 'phosphotransferase')",148326275.56055197
"('family,23S', 'rRNA-intervening', 'sequence')",146995156.3920773
"('cofactor-', 'dependent', 'enzymes')",146842310.67701378
"('biotin', 'carboxylase', 'catalyzes')",146767467.97634172
"('Adenine-specific', 'methyltransferase', 'EcoRI')",146717613.89283377
"('mismatch', 'repair', 'MUTS')",146684898.63329074
"('Type', 'III', 'restriction')",146519206.89714497
"('prokaryotic', 'molybdopterin-containing', 'oxidoreductase')",146023211.48709947
"('bacterial', 'motility', 'apparatus')",145103437.79371917
"('molybdenum', 'hydroxylase', 'system')",143960984.22317016
"('Dinucleotide-utilizing', 'enzymes', 'involved')",143924904.01762897
"('GIY-YIG', 'type', 'nucleases')",142489809.34302646
"('SAM-binding', 'methyltransferase', 'superfamily')",141992924.735713
"('Prevents', 'FtsZ', 'polymerization')",141857660.29332682
"('catabolism', 'regulatory', 'protein-like')",141763825.27216434
"('tricistronic', 'rRNA', 'transcript')",141162457.8274966
"('Gram-negative', 'bacterial', 'TonB')",139921169.50171635
"('Catabolite', 'gene', 'activator')",139110030.1462463
"('thus', 'inhibiting', 'FtsZ')",137910810.79940492
"('anticodon', 'wobble', 'position')",136996935.4110278
"('factor', 'PP2C-like', 'phosphatases')",136634767.8595868
"('putative', 'AbiEii', 'toxin')",136291639.09873876
"('Ferrous', 'iron', 'transport')",135874912.9365638
"('calcium', 'ion', 'binding')",135611647.7597721
"('amide', 'C-N', 'hydrolase')",135318043.2463805
"('HPr', 'component', 'phosphorylation')",135279700.9265191
"('division', 'cycle', '2-like')",134622614.23709813
"('stress-induced', 'multi-chaperone', 'system')",133375521.77713843
"('TIGRFAM', 'RHS', 'repeat-associated')",133321773.2294352
"('metal', 'ion', 'regulated')",133045031.2123281
"('pyrophosphate-', 'dependent', 'phosphorylation')",132658677.27997425
"('COG0740', 'Protease', 'subunit')",132470551.69491726
"('PFAM', '6-pyruvoyl', 'tetrahydropterin')",132272747.7492393
"('hypermodified', 'base', 'found')",131900820.01422136
"('antibiotic', 'resistance', 'protein,23S')",131674176.86975324
"('T=7', 'icosahedral', 'viral')",131139363.51565103
"('COG', 'COG4823', 'Abortive')",130150406.08919938
"('COG', 'COG4845', 'Chloramphenicol')",130150406.08919938
"('Branched-chain', 'amino', 'acid')",128171676.98706998
"('compound', 'metabolic', 'process')",127694379.02706331
"('enzyme', 'utilizes', 'acyl-phosphate')",127641862.39194606
"('alginic', 'acid', 'biosynthetic')",127180457.22032823
"('protease', 'subunits', 'stomatin')",126766756.44837162
"('final', 'effector', 'complex')",126560931.37181425
"('stalled', 'replication', 'forks')",126081745.89822604
"('TonB', 'dependent', 'receptor')",125078179.67415383
"('short', 'RNA', 'molecules')",124292655.47739363
"('hub', 'distal', 'subunit')",124191104.0296477
"('Bacterial', 'conjugation', 'TrbI-like')",123852805.59806903
"('COG', 'COG1961', 'Site-specific')",123848333.58469875
"('type', 'VII', 'ESX')",123058876.5016825
"('predicted', 'nucleotide-binding', 'domains')",123058874.75005239
"('archaeal', 'flagella', 'biosynthesis')",122431024.34176615
"('contains', 'double-stranded', 'beta-helix')",122073471.64650914
"('acetyl', 'transacylase', 'activities')",121758040.0058933
"('Cell', 'shape', 'determining')",121501169.93605797
"('Glutathione', 'synthase', 'Ribosomal')",121501169.56523041
"('catalytic', 'beta', 'chain')",121245607.57194099
"('aromatic', 'amino', 'acids')",120419743.62818791
"('Anaerobic', 'ribonucleoside-triphosphate', 'reductase')",120358306.3425101
"('SpoU', 'rRNA', 'Methylase')",120132566.40448706
"('Papain-like', 'cysteine', 'protease')",119974413.74536888
"('cysteine', 'protease', 'AvrRpt2')",119974413.74536888
"('required', '8-carbon', 'sugar')",119385475.99872194
"('PFAM', 'Manganese', 'containing')",118206540.68112317
"('rescue', 'stalled', 'ribosomes')",117758612.16897905
"('copper', 'amine', 'oxidase')",117621588.74416545
"('Conserved', 'phage', 'C-terminus')",117615804.024554
"('two-step', 'reaction', 'L-threonine')",117326063.94301601
"('chromosome', 'segregation,6-bladed', 'beta-propeller')",116984673.29179648
"('COGs', 'COG3943', 'Virulence')",116349945.33079791
"('chain', 'termination', 'codons')",115717113.62404898
"('Tn3', 'transposase', 'DDE')",115610868.36599964
"('COG5009', 'Membrane', 'carboxypeptidase')",115298480.54964972
"('DAP', 'Arg', 'decarboxylase')",114273171.96391915
"('pyridoxine', ""5'-phosphate"", 'oxidase')",114271362.27278328
"('Archaeal', 'holliday', 'junction')",113996971.27532303
"('Excreted', 'virulence', 'factor')",113862305.55978559
"('virulence', 'factor', 'EspC')",113862305.55978559
"('iron-', 'containing', 'alcohol')",113458537.3111215
"('Stimulates', 'efficient', 'translation')",113202063.79551439
"('Membrane-anchored', 'ion', 'channel')",112801418.89946797
"('Fic', 'family,23S', 'rRNA-intervening')",112309207.70377265
"('Abortive', 'infection', 'C-terminus')",112272669.9844843
"('PFAM', 'Tubulin', 'FtsZ')",111747662.15716489
"('TRAP', 'C4-dicarboxylate', 'transport')",111612126.55925567
"('Low-affinity', 'potassium', 'transport')",111611685.09387973
"('This', 'enzymatic', 'reaction')",111265225.93088906
"('characteristic', 'twin-arginine', 'motif')",111094819.16644931
"('certain', 'short-lived', 'regulatory')",110752986.05092141
