quadgram,chi-square
"('COG3093', 'Plasmid', 'maintenance', 'system')",227672951142.78183
"('Tellurite', 'resistance', 'protein', 'TerB')",227035882196.0138
"('Putative', 'vitamin', 'uptake', ""transporter,3'-5"")",225299128749.4863
"('circular', 'dsDNA', 'target', 'complementary')",216134870217.4665
"('PFAM', '6-pyruvoyl', 'tetrahydropterin', 'synthase')",211773420989.75253
"('GTP-dependent', 'ribosomal', 'translocation', 'step')",207642885398.3251
"('This', 'enzyme', 'utilizes', 'acyl-phosphate')",207422536103.15683
"('beta', 'clamp', 'onto', 'primed')",207087026699.09125
"('COGs', 'COG0389', 'Nucleotidyltransferase', 'DNA')",201842015212.24353
"('inactivated', 'derivatives,4Fe-4S', 'single', 'cluster')",200781256153.8395
"('Regulates', 'arginine', 'biosynthesis', 'genes')",200735379902.21484
"('MinD', 'ParA', 'nucleotide', 'binding')",199874560731.24274
"('two-component', 'regulatory', 'system', 'DpiA')",199039811040.29852
"('PFAM', 'SNARE', 'associated', 'Golgi')",195504976167.94995
"('catalyzes', 'slow', 'GTP', 'hydrolysis')",194777927612.1322
"('The', 'nucleophile', 'active', 'site')",194095248171.46115
"('replicative', 'helicase', 'DnaB', 'onto')",192003728649.02954
"('LPXTG-motif', 'cell', 'wall', 'anchor')",189377052712.7439
"('proton', 'acceptor', 'active', 'site')",188358442909.60278
"('Probably', 'stimulates', 'Z-ring', 'formation')",183620166571.48404
"('COG1734', 'DnaK', 'suppressor', 'protein')",177658710110.70782
"('hydrogenase', 'maturation', 'rSAM', 'protein')",175864177919.20554
"('Tat', 'pathway', 'signal', 'sequence')",175563448090.5989
"('The', 'misacylated', 'Cys-', 'tRNA')",175519315187.54758
"('subgroup,4Fe-4S', 'iron', 'sulfur', 'cluster')",174128458407.85028
"('region,4Fe-4S', 'iron', 'sulfur', 'cluster')",174128458407.85028
"('reductase,4Fe-4S', 'iron', 'sulfur', 'cluster')",174128458407.85028
"('pathogenesis,4Fe-4S', 'iron', 'sulfur', 'cluster')",174128458407.85028
"('methyltransferase,4Fe-4S', 'iron', 'sulfur', 'cluster')",174128458407.85028
"('group,4Fe-4S', 'iron', 'sulfur', 'cluster')",174128458407.85028
"('dUTPase,4Fe-4S', 'iron', 'sulfur', 'cluster')",174128458407.85028
"('acetylglucosamine,4Fe-4S', 'iron', 'sulfur', 'cluster')",174128458407.85028
"('TTP,4Fe-4S', 'iron', 'sulfur', 'cluster')",174128458407.85028
"('Protein,4Fe-4S', 'iron', 'sulfur', 'cluster')",174128458407.85028
"('E,4Fe-4S', 'iron', 'sulfur', 'cluster')",174128458407.85028
"('proteins,4Fe-4S', 'iron', 'sulfur', 'cluster')",174109004255.56607
"('reticulum-Golgi', 'intermediate', 'compartment', 'protein')",172381718732.6626
"('nuclear', 'chromosome', 'segregation,6-bladed', 'beta-propeller')",171719027266.9943
"('Guanylate', 'kinase', 'homologues.,23S', 'rRNA-intervening')",169763730102.7932
"('PFAM', 'TonB-dependent', 'Receptor', 'Plug')",168861322505.79495
"('deaminated', 'base', 'DNA', 'N-glycosylase')",167704531578.34415
"('Cadherin-like', 'beta', 'sandwich', 'domain')",164690871345.34995
"('COG1879', 'ABC-type', 'sugar', 'transport')",162265878739.0868
"('lysogenization', 'protein', 'hflD', 'homolog')",161208829810.31598
"('Twinkle', 'homolog', 'protein', 'chloroplastic')",161208829574.01636
"('PFAM', 'Formylglycine-generating', 'sulfatase', 'enzyme,2-')",159489229892.11227
"('cell', 'division', 'cycle', '2-like')",158639634548.6825
"('bacterial', 'defense', 'system', 'toward')",156769090247.14413
"('Putative', 'lactococcus', 'lactis', 'phage')",154156803137.339
"('metal', 'ion', 'regulated', 'sequence-specific')",153668649797.05746
"('AntA/AntB', 'antirepressor,23S', 'rRNA-intervening', 'sequence')",147659432218.15564
"('COG', 'COG0664', 'cAMP-binding', 'proteins')",147491247667.436
"('Predicted', 'Peptidoglycan', 'domain,23S', 'rRNA-intervening')",142331255979.73557
"('thioredoxin', 'reductase', 'catalytic', 'beta')",141774458042.36752
"('PFAM', 'Pyridoxamine', ""5'-phosphate"", 'oxidase')",139646412042.04166
"('calcium', 'ion', 'binding', 'calmodulin-dependent')",138970364359.57144
"('autocatalytic', 'cleavage,4Fe-4S', 'single', 'cluster')",138652787699.20395
"('This', 'enzyme', 'utilizes', 'acyl-ACP')",138282280511.31244
"('SUF', 'system', 'FeS', 'assembly')",138097702580.2342
"('IPR003610', 'Carbohydrate-binding', 'module', 'family')",137977198846.5317
"('reversible', 'phosphatidyl', 'group', 'transfer')",137184543091.3912
"('COG', 'COG3385', 'FOG', 'Transposase')",137180518144.57469
"('RHS', 'repeat-associated', 'core', 'domain')",136948504673.9062
"('Hydrolase', 'Family', '25-like', 'lysozyme')",135472085843.30182
"('class-II', 'pyridoxal-phosphate-dependent', 'aminotransferase', 'family')",134439322992.6375
"('Cell', 'Wall', 'Hydrolase,23S', 'rRNA-intervening')",132025291546.27899
"('decapping', 'enzyme', 'C-term', 'binding')",131521382221.7517
"('uvrB', 'subunits', 'scans', 'DNA')",130049515147.03145
"('-transporting', 'two-sector', 'ATPase', 'subunit')",129817509372.61746
"('two-sector', 'ATPase', 'subunit', 'H.a')",129817509372.61746
"('sulfonate', 'bicarbonate', 'transport', 'system')",127631613325.42834
"('lactis', 'phage', 'r1t', 'holin')",127022060531.66911
"('FeS', 'assembly', 'ATPase', 'SufC')",126827332395.10486
"('COG', 'COG0265', 'Trypsin-like', 'serine')",126628172209.18936
"('Phosphoenolpyruvate-dependent', 'sugar', 'phosphotransferase', 'system')",126618103949.61992
"('dehydrogenase', 'fumarate', 'reductase', 'flavoprotein')",126586060235.0441
"('FCD', 'domain,8-oxoguanine', 'DNA', 'glycosylase')",126088962953.89563
"('flavin-nucleotide-binding', 'protein', 'structurally', 'related')",121752123080.85133
"('Serine', 'dehydratase', 'alpha', 'chain')",121593484397.09697
"('carbon', 'starvation', 'protein', 'CstA')",120906622303.1008
"('Conserved', 'hypothetical', 'protein', '2217')",120713184150.70088
"('Phage', 'conjugal', 'plasmid', 'C-4')",118834951827.50792
"('alpha', 'beta', 'superfamily,23S', 'rRNA-intervening')",118781473192.66325
"('PTS', 'system', 'fructose', 'IIA')",118750681321.039
"('enzyme', '1,23S', 'rRNA-intervening', 'sequence')",118598801417.26361
"('Alcohol', 'dehydrogenase', 'GroES-like', 'domain')",116150405087.25471
"('COG4397', 'Mu-like', 'prophage', 'major')",115889241699.69934
"('process', 'non-cognate', 'amino', 'acids')",115619071750.04094
"('Wall', 'Hydrolase,23S', 'rRNA-intervening', 'sequence')",114930819323.24261
"('Baseplate', 'hub', 'distal', 'subunit')",114795994744.18816
"('Restriction', 'alleviation', 'protein', 'Lar')",114543115949.0556
"('iron', 'sulfur', 'cluster', 'binding')",114153170203.8372
"('TerD', 'domain,4Fe-4S', 'single', 'cluster')",113436593011.00237
"('Degrades', 'late', 'enterobacteria', 'phage')",113124778081.96327
"('Division', 'inhibition', 'protein', 'dicB')",113055749368.19891
"('UvrB', 'probes', 'one', 'DNA')",112233032745.29721
"('nonribosomal', 'peptide', 'biosynthetic', 'process')",111991288561.21222
"('beta', 'superfamily,23S', 'rRNA-intervening', 'sequence')",110928257268.3466
"('carbohydrate', 'active-transport', 'system', 'catalyzes')",110008465316.95879
"('1,4-beta-cellobiosidase', 'activity,4Fe-4S', 'single', 'cluster')",109990310813.66629
"('translation', 'complex', 'induces', 'mRNA')",109463200834.15262
"('recombination,2Fe-2S', 'iron-sulfur', 'cluster', 'binding')",108685806497.13286
"('Sugar', 'fermentation', 'stimulation', 'protein')",105518506685.7392
"('COG2197', 'Response', 'regulator', 'containing')",105022470943.12471
"('COG3437', 'Response', 'regulator', 'containing')",105022470943.12471
"('COG4753', 'Response', 'regulator', 'containing')",105022470943.12471
"('cleaves', 'DNA', 'hairpin', 'structures')",104801215671.07332
"('C-4', 'type', 'zinc', 'finger')",104732058314.79068
"('two', 'additional', 'distinct', 'tRNA')",104364444431.00356
"('MobA-like', 'NTP', 'transferase', 'domain')",103446453271.82298
"('disulfide', 'oxidoreductase', 'activity,4Fe-4S', 'iron')",103418545087.38391
"('prophage', 'protein', 'Bartonella', 'henselae')",102415022001.68887
"('prophage', 'FluMu', 'protein', 'gp28')",102415021315.35228
"('Transcription', 'termination', 'factor', 'nusG,3')",102236508710.77556
"('PFAM', 'Integrase', 'catalytic', 'region')",102046050575.08447
"('universal', 'ribosomal', 'protein', 'uS2')",101224148878.55074
"('chondroitin', 'disaccharide', 'hydrolase', 'activity')",101013034796.18488
"('Pyocin', 'activator', 'protein', 'PrtN')",100930745610.57103
"('The', 'resulting', 'D-ribose-5-', 'phosphate')",100697353810.29526
"('Phosphate', 'starvation-inducible', 'protein', 'PhoH')",99491572709.86273
"('Rhs', 'element', 'vgr', ""protein,5'-3"")",98983661391.68825
"('Catalytic', 'beta', 'propeller', 'domain')",98814523253.67996
"('Pyridoxamine', ""5'-phosphate"", 'oxidase', 'like')",98548440542.26518
"('Conjugative', 'transposon', 'TraK', 'protein')",98179826921.77869
"('Spy0128-like', 'isopeptide', 'containing', 'domain')",97821705542.17268
"('COG', 'COG0463', 'Glycosyltransferases', 'involved')",96951737780.35355
"('ABC-type', 'branched-chain', 'amino', 'acid')",95810826772.99382
"('Transcriptional', 'regulator,4Fe-4S', 'single', 'cluster')",95684937776.56575
"('TRAP', 'C4-dicarboxylate', 'transport', 'system')",95277252539.49443
"('Low-affinity', 'potassium', 'transport', 'system')",95276751075.39246
"('forming', 'two', 'phosphate', 'ions')",94087358659.34955
"('GP11', 'baseplate', 'wedge', 'protein')",93605130435.4768
"('COG', 'COG0834', 'ABC-type', 'amino')",92887122160.96251
"('holo-form', 'probably', 'binds', 'DNA')",92260216527.77985
"('form', 'Mo-', 'molybdopterin', 'guanine')",91960915860.69371
"('future', 'cell', 'division', 'site')",90839311919.67313
"('Bacteriophage', 'lambda', 'head', 'decoration')",90410216756.69441
"('anaerobic', 'ribonucleoside-triphosphate', 'reductase', 'activating')",90213691021.09119
"('damaged', 'DNA,23S', 'rRNA-intervening', 'sequence')",89920272525.64682
"('cleaves', 'nascent', 'peptidoglycan', 'strands')",89896188515.31029
"('plasmid', 'C-4', 'type', 'zinc')",87974462060.15637
"('RagB', 'outer', 'membrane', 'lipoprotein')",87708605344.98389
"('Peptidoglycan', 'domain,23S', 'rRNA-intervening', 'sequence')",87476760791.91463
"('protease,4Fe-4S', 'iron', 'sulfur', 'cluster')",87275843408.34415
"('transporter,4Fe-4S', 'iron', 'sulfur', 'cluster')",87275843408.34415
"('8.87,4Fe-4S', 'iron', 'sulfur', 'cluster')",87275843408.34415
"('X,4Fe-4S', 'iron', 'sulfur', 'cluster')",87275843408.34415
"('activity,4Fe-4S', 'iron', 'sulfur', 'cluster')",87256390656.88966
"('tRNA', 'synthetase', 'second', 'additional')",86663713501.75531
"('NOG18825', 'non', 'supervised', 'orthologous')",86486340507.30766
"('germination', 'protein,4Fe-4S', 'iron', 'sulfur')",85737594821.50967
"('bacteriophage', 'base', 'plate', 'protein')",85516953445.27734
"('wall', 'biogenesis,2-oxoacid', 'acceptor', 'oxidoreductase')",84584543765.92949
"('Leucine', 'Rich', 'Repeat', 'protein')",83704592712.60738
"('class-II', 'aminoacyl-tRNA', 'synthetase', 'family')",83582991192.04413
"('ribonucleotide', 'reductase', 'nrd', 'genes')",83139707342.59538
"('Phosphate', 'starvation', 'protein', 'PhoH')",82908053711.28581
"('ABC', 'transporter,23S', 'rRNA-intervening', 'sequence')",81374407511.00493
"('COG0226', 'ABC-type', 'phosphate', 'transport')",81131243789.3122
"('enoyl-CoA', 'hydratase', 'isomerase', 'family')",80975035707.47566
"('Von', 'Willebrand', 'factor', 'type')",80009731457.42992
"('two-component', 'regulatory', 'system', 'BaeS')",79621086013.87114
"('RNA-', 'DNA', 'hybrids,3-deoxy-D-manno-octulosonate', '8-phosphate')",79356697891.9844
"('Probably', 'facilitates', 'sialidase-negative', 'bacteria')",78089645776.47316
"('Pyrimidine', 'dimer', 'DNA', 'glycosylase')",76935638477.10158
"('transport', 'system', 'inner', 'membrane')",76380581887.92424
"('antimicrobial', 'peptide', 'transport', 'system')",74206454683.81163
"('Heptaprenyl', 'diphosphate', 'synthase', 'component')",73459325197.07173
"('ABC', 'transporter', 'transmembrane', 'region,4Fe-4S')",72394309443.64908
"('PFAM', 'copper', 'amine', 'oxidase')",71700515694.60338
"('reductase', 'catalytic', 'beta', 'chain')",70887230150.56526
"('Glycosyltransferase', 'sugar-binding', 'region', 'containing')",70759620552.50221
"('division', 'protein', 'FtsI', 'penicillin-binding')",70203845353.35455
"('Helix-turn-helix', ""domain,2'-deoxycytidine"", ""5'-triphosphate"", 'deaminase')",69806015483.9501
"('Phage', 'gp6-like', 'head-tail', 'connector')",69723094177.92268
"('Helix-turn-helix', 'XRE-family', 'like', 'proteins')",69569347669.77562
"('This', 'major', 'carbohydrate', 'active-transport')",69451528738.93802
"('Processes', '30S', 'rRNA', 'precursor')",69099722704.49928
"('CheY-like', 'receiver', 'AAA-type', 'ATPase')",68911319491.26099
"('IMC', 'autoproteolytic', 'cleavage', 'domain')",68820925316.87927
"('Rhs', 'element', 'vgr', 'protein')",68782934191.44533
"('Type', 'II/IV', 'secretion', 'system')",68555391252.85729
"('ABC-type', 'polar', 'amino', 'acid')",68437794199.17164
"('tail', 'fibre', 'adhesin', 'Gp38')",68384776056.38385
"('PFAM', 'TRAP', 'C4-dicarboxylate', 'transport')",68087616066.99693
"('UDP-glucose', 'GDP-mannose', 'dehydrogenase', 'family')",67634558056.18142
"('tricarboxylate', 'transporter', 'TctA', 'family')",67076335527.58876
"('virion', 'morphogenesis', 'family,23S', 'rRNA-intervening')",65711557060.954445
"('Conjugative', 'transposon', 'protein', 'TraO')",65453232695.79031
"('NOG36366', 'non', 'supervised', 'orthologous')",65279718724.2936
"('Putative', 'bacterial', 'toxin', 'ydaT')",65128900728.848564
"('CRISPR', 'system', 'CASCADE', 'complex')",64959675347.85315
"('greatly', 'stimulates', 'nuclease', 'activity')",64320793269.64985
"('symporter', 'family,4Fe-4S', 'iron', 'sulfur')",63834788520.43291
"('unsaturated', 'fatty', 'acids', 'biosynthesis')",63230609365.14202
"('system', 'inner', 'membrane', 'component')",62798560954.388855
"('von', 'Willebrand', 'factor', 'type')",62794079754.080154
"('amino', 'acid', 'residues', 'except')",62578741518.692154
"(',COG', 'NOG34759', 'non', 'supervised')",62161619383.35268
"('six-Cys-in-45', 'modification', 'radical', 'SAM')",61538609881.50783
"('Six-Cys-in-45', 'modification', 'radical', 'SAM')",61538609881.50783
"('sliding', 'clamp', 'ring', 'around')",61341815652.31298
"('PFAM', 'Transposase', 'IS116', 'IS110')",61024294078.54277
"('50S', 'ribosomal', 'subunit', 'IF-1')",60899131796.39072
"('maltose', 'regulon', 'repressor', 'activities')",60621011950.56745
"('mannose/fructose/sorbose', 'family', 'IID', 'component')",60150671827.18098
"('Response', 'regulator', 'containing', 'CheY-like')",60011243318.444824
"('Sulfatase-modifying', 'factor', 'enzyme', '1,23S')",59971861924.27155
"('PFAM', 'transposase', 'IS116', 'IS110')",59536607716.98988
"('1,4-beta-cellobiosidase', 'activity,23S', 'rRNA-intervening', 'sequence')",59299464788.385704
"('This', 'phosphorylation', 'may', 'enable')",58434222001.68498
"('subunit,4Fe-4S', 'iron', 'sulfur', 'cluster')",58324972080.11303
"('Type', 'III', 'restriction', 'enzyme')",58142778442.75457
"('Virus', 'attachment', 'protein', 'p12')",58035178763.733925
"('typically', 'periplasmic', 'contain', 'C-terminal')",57811327591.62803
"('COG4570', 'Holliday', 'junction', 'resolvase,3D')",57758426895.517624
"('The', 'proton', 'acceptor', 'active')",57607086072.83181
"('glycerate', 'kinase', 'type-1', 'family')",57406571857.05537
"('Cell', 'wall', 'hydrolase', 'autolysin')",57384895784.14806
"('coa-acyl', 'carrier', 'protein', 'transacylase')",57083783153.64209
"('phosphosulfate', 'reductase,4Fe-4S', 'iron', 'sulfur')",56643119047.67063
"('70S', 'ribosome', 'quality', 'control')",56625496463.030235
"('Branched-chain', 'amino', 'acid', 'transport')",56572242320.65758
"('SPTR', 'ArsR-family', 'transcription', 'regulator')",56361422240.18357
"('addiction', 'module', 'antidote', 'protein')",56029171979.28904
"('phage', 'phi-C31', 'gp36', 'major')",55988733966.83872
"('30S', 'rRNA', 'precursor', 'transcript')",55279778181.41639
"('pentaerythritol', 'trinitrate', 'reductase', 'activity')",55253662007.572655
"('ParB', 'family,4Fe-4S', 'single', 'cluster')",55218190000.92012
"('various', 'branched', 'DNA', 'structures')",55085558571.328606
"('COG', 'NOG18825', 'non', 'supervised')",54865927714.5994
"('primary', 'fatty', 'acyl', 'moiety')",54707915327.55286
"('L-serine', 'dehydratase', 'alpha', 'chain')",54602978931.14389
"('cellulose', '1,4-beta-cellobiosidase', 'activity,4Fe-4S', 'single')",54410485147.11697
"('module', 'antidote', 'protein', 'HigA')",54025785959.55949
"('bleomycin', 'resistance', 'protein', 'dioxygenase')",53736277220.57803
"('segregation', 'ATPase', 'FtsK', 'SpoIIIE')",53592165478.016685
"('Tfp', 'pilus', 'assembly', 'pathway')",53011611397.53144
"('acid', 'transport', 'signal', 'transduction')",52650213606.63713
"('ABC', 'transporter', 'transmembrane', 'region')",52451527169.46546
"('factor', 'enzyme', '1,23S', 'rRNA-intervening')",51069197522.01859
"('Leucine', 'rich', 'repeat', ""protein,5'-3"")",50949416427.7456
"('bacterial', 'ribonucleotide', 'reductase', 'nrd')",50901861637.707054
"('CopG', 'family', 'transcripitonal', 'regulator')",50093632765.32576
"('ABC', 'transporter', 'complex', 'PotABCD')",49703358466.89806
"('multiple', 'antibiotic', 'resistance', 'protein')",48174096753.45333
"('N-terminal', 'phage', 'replisome', 'organiser')",47822074876.40041
"('RNaseH-like', 'domain,23S', 'rRNA-intervening', 'sequence')",47378046767.348015
"('COG', 'COG1879', 'ABC-type', 'sugar')",47303690860.73659
"('AhpC', 'active', 'site', 'cysteine')",47089619450.194046
"('ABC-type', 'spermidine', 'putrescine', 'transport')",46116796502.07768
"('resistance', 'protein,23S', 'rRNA-intervening', 'sequence')",46086711958.37257
"('Peptidase', 'M15,4Fe-4S', 'single', 'cluster')",45986425427.48239
"('Peptidase', 'S24-like,4Fe-4S', 'single', 'cluster')",45986425427.48239
"('T=7', 'icosahedral', 'viral', 'capsid')",45113561787.474884
"('periplasmic', 'contain', 'C-terminal', 'PDZ')",44970883086.1985
"('biosynthetic', 'process', 'via', 'aminoadipic')",43951309965.56868
"('score,4Fe-4S', 'iron', 'sulfur', 'cluster')",43849536688.56024
"('MacB-like', 'periplasmic', 'core', 'domain')",43585077023.94064
"('Mannitol', 'dehydrogenase', 'Rossmann', 'domain')",43556401406.788536
"('envelope-related', 'transcriptional', 'attenuator', 'domain')",43271722075.36349
"('thus', 'removing', 'DNA', 'supercoils')",43246976499.917114
"('Tellurite', 'resistance', 'protein', 'TehB')",42993808197.38509
"('COG', 'COG4570', 'Holliday', 'junction')",42586012574.64294
"('Siphovirus', 'ReqiPepy6', 'Gp37-like', 'protein')",42156304225.257675
"('PTS', 'system', 'sorbose', 'subfamily')",41890578772.8692
"('certain', 'short-lived', 'regulatory', 'proteins')",41836493127.66439
"('COG', 'NOG36366', 'non', 'supervised')",41407856488.16373
"('two', 'additional', 'distinct', 'editing')",41277425461.54192
"('kinase', 'homologues.,23S', 'rRNA-intervening', 'sequence')",40687258183.91905
"('Branched-chain', 'amino', 'acid', 'ATP-binding')",40674030325.32878
"('membrane-bound', 'lytic', 'murein', 'transglycosylase')",39854029622.499664
"('arrested', 'nascent', 'DNA', 'chain')",39540092805.889366
"('related', 'domain,4Fe-4S', 'iron', 'sulfur')",39508322309.03662
"('low', 'D-mannonate', 'dehydratase', 'activity')",39319767864.05325
"('serine', 'protease,4Fe-4S', 'single', 'cluster')",39255495440.96714
"('VWA', 'domain', 'containing', 'CoxE-like')",39128682585.278076
"('70S', 'translation', 'initation', 'complex')",39126783517.0929
"('SNARE', 'associated', 'Golgi', 'protein')",38690119173.49024
"('class', 'IV-like', 'SAM-binding', 'methyltransferase')",38658137374.8297
"('DNA-directed', 'RNA', 'polymerase', 'specialized')",38214176987.43371
"('transmembrane', 'signaling', 'receptor', 'activity')",38148538864.633514
"('Chromatin', 'associated', 'protein', 'KTI12')",38085586861.14773
"('NDP', 'beta', 'phosphate', 'via')",37987658439.95063
"('Mu-like', 'prophage', 'protein', 'gp29')",37931936466.1146
"('gp6-like', 'head-tail', 'connector', 'protein')",37434516417.60608
"('transports', 'large', 'folded', 'proteins')",37353981895.86093
"('protein-associated', 'redox', 'disulfide', 'domain')",37152486049.52183
"('abc', 'transporter', 'atp-binding', 'protein')",37122715613.58603
"('CorA-like', 'Mg2+', 'transporter', 'protein')",37122715611.66019
"('Thiamin', 'Synthesis', 'associated', 'domain')",36780961183.685844
"('oxidoreductase', 'activity,4Fe-4S', 'iron', 'sulfur')",36506244349.100365
"('major', 'carbohydrate', 'active-transport', 'system')",36483536478.12075
"('serine', 'protease,4Fe-4S', 'iron', 'sulfur')",36188699474.50967
"('orthologous', 'group,4Fe-4S', 'iron', 'sulfur')",36188698731.56693
"('The', 'b-c1', 'complex', 'mediates')",36184828320.61494
"('regulator', 'containing', 'CheY-like', 'receiver')",36160065317.20576
"('NADPH-dependent', 'glutamate', 'synthase', 'beta')",36089452724.9111
"('Colicin', 'pore', 'forming', 'domain')",36059765863.75992
"('system', 'mannose/fructose/sorbose', 'family', 'IID')",35386728203.70537
"('LytC', 'amidase', 'family', 'K01448')",35307296726.30033
"('Hep', 'Hag', 'repeat', 'protein,4Fe-4S')",35135555668.938805
"('The', 'KaiABC', 'complex', 'may')",34991920566.47948
"('beta', 'sliding', 'clamp', 'ring')",34813544410.30791
"('Cell', 'wall', 'hydrolyses', 'involved')",34454347802.27134
"('molecular', 'weight', 'phosphotyrosine', 'protein')",34227887169.633343
"('COG0739', 'Membrane', 'proteins', 'related')",33807255034.445503
"('DNA', 'hybrids,3-deoxy-D-manno-octulosonate', '8-phosphate', 'phosphatase')",33673613235.975094
"('carrier', 'protein,4Fe-4S', 'single', 'cluster')",33530948133.248817
"('Mur', 'ligase', 'middle', 'domain')",33437237512.534008
"('component', 'photorepair', 'protein', 'PhrA')",33289777486.04387
"('Two-component-system', 'connector', 'protein', 'YcgZ')",33226298625.1033
"('Two-component-system', 'connector', 'protein', 'AriR')",33226298625.1033
"('NOG23522', 'non', 'supervised', 'orthologous')",32943924960.63527
"('NOG32858', 'non', 'supervised', 'orthologous')",32943924960.63527
"('YjcQ', 'protein,23S', 'rRNA-intervening', 'sequence')",32806333759.81498
"('CASCADE', 'complex', 'protein', 'CasA')",32712944799.596436
"('Biofilm', 'PGA', 'synthesis', 'protein')",32421887553.92878
"('PGA', 'synthesis', 'protein', 'PgaD')",32421887553.92878
"('acid', 'binding,4Fe-4S', 'single', 'cluster')",32142392749.84443
"('UvrABC', 'repair', 'system', 'catalyzes')",31878287742.84932
"('COG5614', 'Bacteriophage', 'head-tail', 'adaptor')",31742538214.766754
"('COG', 'COG0507', 'ATP-dependent', 'exoDNAse')",31634945333.99267
"('extracellular', 'polysaccharide', 'metabolic', 'process')",31467618362.22772
"('Phosphonate', 'ABC', 'transporter', 'ATP-binding')",30919168738.071583
"('-methyltransferase', 'family,2-oxoacid', 'acceptor', 'oxidoreductase')",30412421143.63363
"('toxin', 'secretion', 'phage', 'lysis')",30245114657.90474
"('unsaturated', 'glucuronyl', 'hydrolase', 'involved')",30197371578.590862
"('T4-like', 'phage', 'nuclear', 'disruption')",30031674639.216877
"('Relaxase', 'mobilization', 'nuclease', 'domain')",29986188197.136856
"('PFAM', 'IS66', 'Orf2', 'like')",29924231060.183346
"('Tellurium', 'resistance', 'protein', 'TerD')",29853487502.52371
"('SEC-C', 'Motif', 'Domain', 'Protein')",29663598207.50705
"('YqaJ', 'viral', 'recombinase', 'family')",29587099200.471676
"('Mu-like', 'prophage', 'FluMu', 'protein')",29586890548.64735
"('additional', 'distinct', 'editing', 'activities')",29394895407.656044
"('initiates', 'fatty', 'acid', 'synthesis')",29151607751.612835
"('class-I', 'aminoacyl-tRNA', 'synthetase', 'family')",28995075698.480625
"('crossover', 'junction', 'endodeoxyribonuclease', 'RusA')",28991122805.12117
"('binding-protein-dependent', 'transport', 'system', 'permease')",28583353417.276997
"('COG1595', 'DNA-directed', 'RNA', 'polymerase')",28025275861.200607
"('synthase', 'beta', 'chain', 'K06001')",27972160211.55343
"('Recruits', 'intracellular', 'free', 'iron')",27965391906.92854
"('envelope-like', 'function', 'transcriptional', 'attenuator')",27948330066.779427
"('ExbB', 'proton', 'channel', 'family')",27913757630.641396
"('TIGRFAM', 'Anaerobic', 'ribonucleoside-triphosphate', 'reductase,5')",27842851474.26815
"('capsule', 'synthesis', 'protein', 'PGA_cap')",27790195447.713425
"('pyridine', 'nucleotide-disulfide', 'oxidoreductase', 'family')",27754862994.247044
"('Putative', 'small', 'multi-drug', 'export')",27402147460.694332
"('cell', 'proliferation', 'coordinating', 'protein')",27035021148.52596
"('Stem', 'cell', 'self-renewal', 'protein')",27035021147.673813
"('cell', 'self-renewal', 'protein', 'Piwi')",27035021147.673813
"('Large', 'extracellular', 'alpha-helical', 'protein')",26961755866.731155
"('Glyoxalase', 'bleomycin', 'resistance', 'protein')",26868138936.70901
"('regulatory', 'protein', 'AtoC', 'K07714')",26785470685.064163
"('KWG', 'Leptospira', 'repeat', 'protein')",26785467837.747913
"('MazG', 'nucleotide', 'pyrophosphohydrolase', 'domain')",26474589684.52646
"('Universal', 'bacterial', 'protein', 'YeaZ')",26319808963.25152
"('Queuosine', 'biosynthesis', 'protein', 'QueC')",25908562841.69746
"('YqaJ-like', 'viral', 'recombinase', 'domain')",25896772013.34819
"('mercury', 'ion', 'transmembrane', 'transporter')",25517999171.357944
"('Cellulose', 'biosynthesis', 'protein', 'BcsQ')",25400551094.978527
"('like', 'proteins,23S', 'rRNA-intervening', 'sequence')",25279661624.899292
"('-dependent', 'epimerase', 'dehydratase', 'family')",25210700136.047745
"('Hep', 'Hag', 'repeat', 'protein')",25187543725.632168
"('complex', 'induces', 'mRNA', 'cleavage')",25033164430.753464
"('DNA', 'recombination,2Fe-2S', 'iron-sulfur', 'cluster')",24940674483.01435
"('inner', 'membrane', 'transporter', 'YedA')",24902320633.178387
"('XkdN-like', 'tail', 'assembly', 'chaperone')",24828056519.59131
"('GerA', 'spore', 'germination', 'protein')",24731478717.687603
"('Lantibiotic', 'protection', 'ABC', 'transporter')",24645796416.220654
"('activating', 'protein,4Fe-4S', 'single', 'cluster')",23803187431.333405
"('COG', 'COG1653', 'ABC-type', 'sugar')",23697936767.58929
"('Histidine', 'kinase-', 'DNA', 'gyrase')",23641833603.02435
"('C-5', 'cytosine-specific', 'DNA', 'methylase')",23491133900.767605
"('like', 'common', 'ATP-dependent', 'phosphofructokinases')",23355970995.826897
"('COG1360', 'Flagellar', 'motor', 'protein')",23152331938.0944
"('membrane', 'spanning', 'protein', 'TolA')",23029832831.603954
"('nucleic', 'acid', 'binding,4Fe-4S', 'single')",22941679249.266018
"('Glycosyl', 'hydrolase', '108,4', 'iron')",22934105402.088608
"('amino', 'acid', 'ATP-binding', 'cassette')",22733176023.22801
"('also', 'requires', 'integration', 'host')",22595060609.89611
"('chromosome', 'segregation,4Fe-4S', 'single', 'cluster')",22390801680.95767
"('termination', 'antitermination', 'factor', 'NusG')",22327941823.6359
"('free', 'ribosomal', '30S', 'subunits')",22281385810.12549
"('Carbamoyl-phosphate', 'synthetase', 'large', 'chain')",22021846354.785374
"('Class', 'III', 'signal', 'peptide')",21753626103.78667
