quadgram,freq
"('CASCADE', 'complex', 'protein', 'CasA')",9
"('Leu', 'Phe', 'Val', 'dehydrogenases')",9
"('Bacteriophage', 'lambda', 'tail', 'assembly')",9
"('outer', 'membrane', 'receptor', 'proteins')",9
"('condensin-like', 'complex', 'containing', 'Smc')",9
"('Glu', 'Leu', 'Phe', 'Val')",9
"('amino', 'acid', 'carrier', 'protein')",9
"('Cold', 'shock', 'protein', 'domain')",9
"('SMART', 'helix-turn-helix', 'domain', 'protein')",9
"('antimicrobial', 'peptide', 'transport', 'system')",9
"('ABC-type', 'antimicrobial', 'peptide', 'transport')",9
"('alpha', 'beta', 'alpha', 'domain')",9
"('Phage', 'protein', 'F-like', 'protein')",9
"('Xylose', 'isomerase-like', 'TIM', 'barrel')",9
"('protein,23S', 'rRNA-intervening', 'sequence', 'protein')",9
"('Copper', 'amine', 'oxidase', 'N-terminal')",9
"('amine', 'oxidase', 'N-terminal', 'domain')",9
"('cell', 'division', 'protein', 'FtsZ')",9
"('zinc', 'finger', 'domain', 'protein')",9
"('intrinsic', 'GTPase', 'hydrolysis', 'rate')",9
"('helix', 'DNA', 'binding', 'domain')",9
"('Stage', 'III', 'sporulation', 'protein')",9
"('NOG14934', 'non', 'supervised', 'orthologous')",9
"('high', 'intrinsic', 'GTPase', 'hydrolysis')",9
"('Bidirectionally', 'degrades', 'single-stranded', 'DNA')",9
"('COG', 'NOG14934', 'non', 'supervised')",9
"('looped-hinge', 'helix', 'DNA', 'binding')",9
"('COG0827', 'Adenine-specific', 'DNA', 'methylase')",9
"('protein', 'kinase', 'kinase', 'protein')",8
"('multidrug', 'transport', 'system', 'ATPase')",8
"('kinase', 'kinase', 'protein', 'kinase')",8
"('small', 'heat', 'shock', 'protein')",8
"('DegT', 'DnrJ', 'EryC1', 'family')",8
"('Polysaccharide', 'biosynthesis', 'C-terminal', 'domain')",8
"('T=13', 'icosahedral', 'viral', 'capsid')",8
"('root', 'UniRef', 'RepID', 'VPD_BP186')",8
"('calmodulin-dependent', 'protein', 'kinase', 'kinase')",8
"('prophage', 'protein', 'Bartonella', 'henselae')",8
"('Tape', 'measure', 'domain', 'protein')",8
"('kinase', 'protein', 'kinase', 'protein')",8
"('protein', 'kinase', 'protein', 'serine')",8
"('protein', 'Bartonella', 'henselae', 'str')",8
"('kinase', 'protein', 'tyrosine', 'kinase')",8
"('reversible', 'phosphatidyl', 'group', 'transfer')",8
"('kinase', 'protein', 'serine', 'threonine')",8
"('threonine', 'kinase', 'protein', 'tyrosine')",8
"('serine', 'threonine', 'kinase', 'protein')",8
"('low', 'molecular', 'weight', 'disulfides')",8
"('Prokaryotic', 'N-terminal', 'methylation', 'motif')",8
"('binding', 'calmodulin-dependent', 'protein', 'kinase')",8
"('ion', 'binding', 'calmodulin-dependent', 'protein')",8
"('DNA', 'mismatch', 'repair', 'MUTS')",8
"('mismatch', 'repair', 'MUTS', 'family')",8
"('Fibronectin', 'type', 'III', 'protein')",8
"('Type', 'II/IV', 'secretion', 'system')",8
"('II/IV', 'secretion', 'system', 'protein')",8
"('ATP', 'binding', 'calcium', 'ion')",8
"('length', 'tape', 'measure', 'protein')",8
"('binding', 'calcium', 'ion', 'binding')",8
"('calcium', 'ion', 'binding', 'calmodulin-dependent')",8
"('COG', 'NOG19089', 'non', 'supervised')",8
"('conserved', 'barrel', 'domain', 'protein')",8
"('protein', 'serine', 'threonine', 'kinase')",8
"('nucleobase-containing', 'compound', 'metabolic', 'process')",8
"('Reduces', 'low', 'molecular', 'weight')",8
"('NOG19089', 'non', 'supervised', 'orthologous')",8
"('chain', 'termination', 'codons', 'UGA')",8
"('RNA', 'polymerase', 'sigma', 'factor')",8
"('SMART', 'HTH', 'transcriptional', 'regulator')",7
"('PFAM', 'Phage', 'portal', 'protein')",7
"('Pilin', 'isopeptide', 'linkage', 'domain')",7
"('acceptor', 'active', 'site', 'deprotonates')",7
"('isopeptide', 'linkage', 'domain', 'protein')",7
"('proton', 'acceptor', 'active', 'site')",7
"('Peptidase', 'S24', 'S26A', 'S26B')",7
"('membrane', 'protein', 'beta-barrel', 'family')",7
"('Bacterial', 'capsule', 'synthesis', 'protein')",7
"('Phage', 'major', 'tail', 'tube')",7
"('DNA', 'stabilization', 'protein', 'gp10')",7
"('Ferrous', 'iron', 'transport', 'protein')",7
"('Serine', 'dehydratase', 'alpha', 'chain')",7
"('NOG22561', 'non', 'supervised', 'orthologous')",7
"('PFAM', 'Peptidase', 'S24', 'S26A')",7
"('COG', 'NOG22561', 'non', 'supervised')",7
"(',4Fe-4S', 'single', 'cluster', 'domain')",7
"('polymerase', 'transcription', 'elongation', 'past')",7
"('transcription', 'elongation', 'past', 'template-encoded')",7
"('RNA', 'polymerase', 'transcription', 'elongation')",7
"('NAD', 'NADP', 'octopine', 'nopaline')",7
"('UDP-glucose', 'GDP-mannose', 'dehydrogenase', 'family')",7
"('Branched-chain', 'amino', 'acid', 'transport')",7
"('NADP', 'octopine', 'nopaline', 'dehydrogenase')",7
"('Aerobic-type', 'carbon', 'monoxide', 'dehydrogenase')",7
"('efficient', 'RNA', 'polymerase', 'transcription')",7
"('COG1132', 'ABC-type', 'multidrug', 'transport')",7
"('Phage', 'small', 'terminase', 'subunit')",7
"('protein', 'LacI', 'transcriptional', 'regulator')",7
"('binding', 'protein', 'LacI', 'transcriptional')",7
"('Periplasmic', 'binding', 'protein', 'LacI')",7
"('two', 'additional', 'enzymatic', 'reactions')",7
"('transporter', 'complex', 'PotABCD', 'involved')",7
"('ABC', 'transporter', 'complex', 'PotABCD')",7
"('Phage', 'tail', 'repeat', 'like')",7
"('Phage', 'related', 'hypothetical', 'protein')",7
"('dimethylates', 'two', 'adjacent', 'adenosines')",7
"('Specifically', 'dimethylates', 'two', 'adjacent')",7
"('The', 'proton', 'acceptor', 'active')",7
"('extracellular', 'polysaccharide', 'biosynthetic', 'process')",7
"('elongation', 'past', 'template-encoded', 'arresting')",7
"('PFAM', 'ABC', 'transporter', 'related')",7
"('CRISPR', 'systems', 'correct', 'processing')",7
"('Subsequently', 'Cas9', 'crRNA', 'tracrRNA')",7
"('Cas9', 'crRNA', 'tracrRNA', 'endonucleolytically')",7
"('crRNA', 'tracrRNA', 'endonucleolytically', 'cleaves')",7
"('tracrRNA', 'endonucleolytically', 'cleaves', 'linear')",7
"('past', 'template-encoded', 'arresting', 'sites')",7
"('heat', 'shock', 'protein', 'binding')",7
"('COG', 'NOG09493', 'non', 'supervised')",7
"('NOG09493', 'non', 'supervised', 'orthologous')",7
"('circular', 'dsDNA', 'target', 'complementary')",7
"('PFAM', 'Phage', 'regulatory', 'protein')",7
"('bacteriophage', 'base', 'plate', 'protein')",7
"('nucleophile', 'active', 'site', 'attacks')",7
"('COG', 'COG0175', '3-phosphoadenosine', '5-phosphosulfate')",7
"('COG0175', '3-phosphoadenosine', '5-phosphosulfate', 'sulfotransferase')",7
"('PFAM', 'Pathogenesis-related', 'transcriptional', 'factor')",7
"('The', 'nucleophile', 'active', 'site')",7
"('Preprotein', 'translocase', 'subunit', 'SecB')",7
"('COG1294', 'Cytochrome', 'bd-type', 'quinol')",6
"('ABC', 'transporter', 'substrate-binding', 'protein')",6
"('capsule', 'synthesis', 'protein', 'PGA_cap')",6
"('DNA', 'polymerase', 'type-Y', 'family')",6
"('system', 'toward', 'oxidative', 'stress')",6
"('phage', 'phi', 'LC3', 'family')",6
"('Cysteine-rich', 'secretory', 'protein', 'family')",6
"('1,23S', 'rRNA-intervening', 'sequence', 'protein')",6
"('COG', 'COG1132', 'ABC-type', 'multidrug')",6
"('Fe2', 'transport', 'system', 'protein')",6
"('envelope-related', 'transcriptional', 'attenuator', 'domain')",6
"('Cell', 'envelope-related', 'transcriptional', 'attenuator')",6
"('Concanavalin', 'A-like', 'lectin/glucanases', 'superfamily')",6
"('Crossover', 'junction', 'endodeoxyribonuclease', 'RuvC')",6
"('pseudouridine', 'synthase', 'RsuA', 'family')",6
"('PFAM', 'IstB-like', 'ATP', 'binding')",6
"('Bacterial', 'SH3', 'domain', 'homologues')",6
"('COGs', 'COG4397', 'Mu-like', 'prophage')",6
"('COG4397', 'Mu-like', 'prophage', 'major')",6
"('helicase', 'C-terminal', 'domain', 'protein')",6
"('Major', 'capsid', 'protein', 'Gp23')",6
"('Pyrimidine', 'dimer', 'DNA', 'glycosylase')",6
"('CorA-like', 'Mg2+', 'transporter', 'protein')",6
"('defense', 'system', 'toward', 'oxidative')",6
"('bacterial', 'defense', 'system', 'toward')",6
"('Redox', 'regulated', 'molecular', 'chaperone')",6
"('enzyme', '1,23S', 'rRNA-intervening', 'sequence')",6
"('Putative', 'ATP-dependent', 'DNA', 'helicase')",6
"('ATP-dependent', 'DNA', 'helicase', 'recG')",6
"('DNA', 'helicase', 'recG', 'C-terminal')",6
"('methyl-directed', 'DNA', 'mismatch', 'repair')",6
"('dam-dependent', 'methyl-directed', 'DNA', 'mismatch')",6
"('factor', 'enzyme', '1,23S', 'rRNA-intervening')",6
"('ATP', 'renatures', 'cruciform', 'structure')",6
"('may', 'promote', 'strand', 'exchange')",6
"('Cytochrome', 'bd-type', 'quinol', 'oxidase')",6
"('promote', 'strand', 'exchange', 'reactions')",6
"('SpoU', 'rRNA', 'Methylase', 'family')",6
"('Sulfatase-modifying', 'factor', 'enzyme', '1,23S')",6
"('NOG18028', 'non', 'supervised', 'orthologous')",6
"('contains', 'double-stranded', 'beta-helix', 'domain')",6
"('NOG14118', 'non', 'supervised', 'orthologous')",6
"('amino', 'acid', 'transport', 'system')",6
"('PFAM', 'phage', 'portal', 'protein')",6
"('IS66', 'Orf2', 'like', 'protein')",6
"('COG1484', 'DNA', 'replication', 'protein')",6
"('COG', 'NOG18028', 'non', 'supervised')",6
"('COG', 'NOG14118', 'non', 'supervised')",6
"('triple', 'helix', 'repeat', 'protein')",6
"('activity,4Fe-4S', 'single', 'cluster', 'domain')",6
"('gp7', 'family', 'domain', 'protein')",6
"('Sporulation', 'initiation', 'factor', 'Spo0A')",6
"('SPP1', 'gp7', 'family', 'domain')",6
"('abc', 'transporter', 'atp-binding', 'protein')",6
"('Clp', 'protease', 'proteolytic', 'subunit')",6
"('DNA', 'primase', 'catalytic', 'core')",6
"('PFAM', 'Tellurite', 'resistance', 'protein')",6
"('COG3723', 'Recombinational', 'DNA', 'repair')",6
"('two-component', 'sensor', 'histidine', 'kinase')",6
"('ATP-dependent', 'Clp', 'protease', 'proteolytic')",6
"('COG0338', 'Site-specific', 'DNA', 'methylase')",6
"('protein,4Fe-4S', 'single', 'cluster', 'domain')",6
"('bd-type', 'quinol', 'oxidase', 'subunit')",6
"('phageSPP1_gp7', 'phage', 'head', 'morphogenesis')",6
"('protein', 'contains', 'double-stranded', 'beta-helix')",6
"('Preprotein', 'translocase', 'SecG', 'subunit')",6
"('pyrophosphates', 'generating', 'different', 'type')",5
"('sulfur', 'carrier', 'protein', 'ThiS')",5
"('Iron', 'dicitrate', 'transport', 'regulator')",5
"('allylic', 'pyrophosphates', 'generating', 'different')",5
"('FtsK', 'SpoIIIE', 'family', 'protein')",5
"('COG', 'NOG32529', 'non', 'supervised')",5
"('NOG32529', 'non', 'supervised', 'orthologous')",5
"('Methionine', 'biosynthesis', 'protein', 'MetW')",5
"('phage', 'minor', 'tail', 'protein')",5
"('ORF', 'located', 'using', 'Glimmer')",5
"('located', 'using', 'Glimmer', 'RBSfinder')",5
"('contain', 'C-terminal', 'PDZ', 'domain')",5
"('Lactococcus', 'lactis', 'bacteriophage', 'major')",5
"('breast', 'cancer', 'carboxy-terminal', 'domain')",5
"('lactis', 'bacteriophage', 'major', 'structural')",5
"('bacteriophage', 'major', 'structural', 'protein')",5
"('COG0577', 'ABC-type', 'antimicrobial', 'peptide')",5
"('Outer', 'membrane', 'protein', 'Omp28')",5
"('PFAM', 'Phage', 'minor', 'structural')",5
"('Bacterial', 'regulatory', 'helix-turn-helix', 'protein')",5
"('dicitrate', 'transport', 'regulator', 'FecR')",5
"('reversible', 'NADPH', 'linked', 'reduction')",5
"('TIGRFAM', 'phage', 'minor', 'tail')",5
"('BNR', 'Asp-box', 'repeat', 'protein')",5
"('Tail', 'tape', 'measure', 'protein')",5
"('osmotic', 'pressure', 'changes', 'within')",5
"('50S', 'ribosomal', 'subunit', 'assembly')",5
"('ATP-dependent', 'helicase', 'nuclease', 'subunit')",5
"('specific', '2-hydroxyacid', 'dehydrogenase', 'family')",5
"('This', 'protein', 'specifically', 'catalyzes')",5
"('gluconate', 'operon', 'transcriptional', 'repressor')",5
"('helix_turn_helix', 'gluconate', 'operon', 'transcriptional')",5
"('membrane', 'protein', 'beta-barrel', 'domain')",5
"('TIGRFAM', 'anaerobic', 'ribonucleoside-triphosphate', 'reductase')",5
"('AraC', 'family', 'transcriptional', 'regulator')",5
"('transferase', 'hexapeptide', 'repeat', 'protein')",5
"('Bacterial', 'transferase', 'hexapeptide', 'repeat')",5
"('dicarboxylate', 'amino', 'acid', 'cation')",5
"('bacterial', 'ribonucleotide', 'reductase', 'nrd')",5
"('amino', 'acid', 'cation', 'symporter')",5
"('Mate', 'efflux', 'family', 'protein')",5
"('Flp', 'pilus', 'assembly', 'protein')",5
"('transport', 'system', 'ATPase', 'component')",5
"('SOS', 'response', 'associated', 'peptidase')",5
"('binding-protein-dependent', 'transport', 'system', 'permease')",5
"('transport', 'system', 'permease', 'family')",5
"('base-free', 'deoxyribose', '5-phosphate', 'residues')",5
"('asymmetric', 'cellular', 'division', 'facilitating')",5
"('ribonucleotide', 'reductase', 'nrd', 'genes')",5
"('binds', 'specifically', 'double-stranded', 'DNA')",5
"('ABC', 'transporter', 'FtsEX', 'involved')",5
"('Cna', 'protein', 'B-type', 'domain')",5
"('Plasmid', 'encoded', 'RepA', 'protein')",5
"('forming', 'two', 'phosphate', 'ions')",5
"('yield', 'small', 'peptide', 'fragments')",5
"('family,23S', 'rRNA-intervening', 'sequence', 'protein')",5
"('COG', 'COG0338', 'Site-specific', 'DNA')",5
"('nascent', 'peptidoglycan', 'strands', 'endolytically')",5
"('cleaves', 'nascent', 'peptidoglycan', 'strands')",5
"('Meiotically', 'up-regulated', 'gene', '113')",5
"('Putative', 'inner', 'membrane', 'protein')",5
"('Integrating', 'conjugative', 'element', 'protein')",5
"('Swim', 'zinc', 'finger', 'domain')",5
"('ATP', 'like', 'common', 'ATP-dependent')",5
"('Thr', 'phosphatase', 'family', 'protein')",5
"('TonB-dependent', 'Receptor', 'Plug', 'Domain')",5
"('Tellurium', 'resistance', 'protein', 'TerD')",5
"('von', 'Willebrand', 'factor', 'type')",5
"('Ser', 'Thr', 'phosphatase', 'family')",5
"('like', 'common', 'ATP-dependent', 'phosphofructokinases')",5
"('certain', 'short-lived', 'regulatory', 'proteins')",5
"('ABC-2', 'family', 'transporter', 'protein')",5
"('COG', 'COG1484', 'DNA', 'replication')",5
"('Spy0128-like', 'isopeptide', 'containing', 'domain')",5
"('DNA', 'polymerase', 'type-B', 'family')",5
"('COG', 'COG3291', 'FOG', 'PKD')",5
"('Carbamoyl-phosphate', 'synthase', 'small', 'chain')",5
"('COG3291', 'FOG', 'PKD', 'repeat')",5
"('DNA', 'polymerase', 'III', 'subunit')",5
"('Prophage', 'tail', 'length', 'tape')",5
"('lambda', 'tail', 'assembly', 'chaperone')",5
"('The', 'epsilon', 'subunit', 'contain')",5
"('Bacterial', 'extracellular', 'solute-binding', 'proteins')",5
"('The', 'HisF', 'subunit', 'catalyzes')",5
"('70S', 'ribosome', 'quality', 'control')",5
"('late-stage', '70S', 'ribosome', 'quality')",5
"('two', 'additional', 'distinct', 'tRNA')",5
"('Single', 'strand-specific', 'metallo-endoribonuclease', 'involved')",5
"('COG0671', 'Membrane-associated', 'phospholipid', 'phosphatase')",4
"('RNA', 'polymerase', 'transcriptional', 'activator')",4
"('regulator', 'containing', 'CheY-like', 'receiver')",4
"('RHS', 'repeat-associated', 'core', 'domain')",4
"('pilus', 'assembly', 'protein', 'CpaB')",4
"('COG', 'COG3209', 'Rhs', 'family')",4
"('COG', 'COG0740', 'Protease', 'subunit')",4
"('SOS', 'response-associated', 'peptidase', 'family')",4
"('incoming', 'sugar', 'substrates', 'concomitantly')",4
"('LTXXQ', 'motif', 'family', 'protein')",4
"('UvrB', 'subunits', 'scans', 'DNA')",4
"('mammalian', 'host', 'mucosal', 'sites')",4
"('bacterial-type', 'RNA', 'polymerase', 'transcriptional')",4
"('epimerase', 'dehydratase', 'family', 'protein')",4
"('COG', 'COG0671', 'Membrane-associated', 'phospholipid')",4
"('Mu-like', 'prophage', 'host-nuclease', 'inhibitor')",4
"('COG1674', 'DNA', 'segregation', 'ATPase')",4
"('sialic', 'acid', 'commonly', 'found')",4
"('Endonuclease', 'Exonuclease', 'phosphatase', 'family')",4
"('alternative', 'sialic', 'acid', 'commonly')",4
"(',4Fe-4S', 'iron', 'sulfur', 'cluster')",4
"('BIO14.03', 'Phage', 'related', 'functions')",4
"('GyrI-like', 'small', 'molecule', 'binding')",4
"('host-nuclease', 'inhibitor', 'protein', 'Gam')",4
"('prophage', 'host-nuclease', 'inhibitor', 'protein')",4
"('Carbamoyl-phosphate', 'synthetase', 'large', 'chain')",4
"('HOMOLOGY', 'BIO14.03', 'Phage', 'related')",4
"('pfkB', 'family', 'carbohydrate', 'kinase')",4
"('PFAM', 'Tail', 'Collar', 'domain')",4
"('NOG28456', 'non', 'supervised', 'orthologous')",4
"('COG', 'NOG28221', 'non', 'supervised')",4
"('Glycerophosphoryl', 'diester', 'phosphodiesterase', 'family')",4
"('Cyclic', 'nucleotide-binding', 'domain', 'protein')",4
"('PFAM', 'Nitrilase', 'cyanide', 'hydratase')",4
"('NOG23194', 'non', 'supervised', 'orthologous')",4
"('branched', 'alpha-glucan', 'biosynthetic', 'pathway')",4
"('Mu-like', 'prophage', 'protein', 'GP36')",4
"('COG0454', 'Histone', 'acetyltransferase', 'HPA2')",4
"('Bacterial', 'periplasmic', 'substrate-binding', 'proteins')",4
"('Guanylate', 'cyclase', 'catalytic', 'domain')",4
"('sigma', 'factor', 'antagonist', 'activity')",4
"('Streptococcus', 'thermophilus', 'bacteriophage', 'Sfi19')",4
"('Flavin', 'reductase', 'like', 'domain')",4
"('ABC-type', 'sugar', 'transport', 'system')",4
"('Tail', 'Collar', 'domain', 'protein')",4
"('MacB-like', 'periplasmic', 'core', 'domain')",4
"('amino', 'acid', 'transport', 'protein')",4
"('Helix-turn-helix', 'XRE-family', 'like', 'proteins,4Fe-4S')",4
"('ParB-like', 'nuclease', 'domain,3D', 'domain')",4
"('NOG28221', 'non', 'supervised', 'orthologous')",4
"('amino', 'terminal', 'protease', 'family')",4
"('COG', 'NOG30624', 'non', 'supervised')",4
"('CAAX', 'amino', 'terminal', 'protease')",4
"('COG', 'NOG28456', 'non', 'supervised')",4
"('Rad52/22', 'family', 'double-strand', 'break')",4
"('family', 'double-strand', 'break', 'repair')",4
"('-dependent', 'epimerase', 'dehydratase', 'family')",4
"('UvrD/REP', 'helicase', 'N-terminal', 'domain')",4
"('transport', 'system', 'permease', 'protein')",4
"('family,4Fe-4S', 'single', 'cluster', 'domain')",4
"('cysteine', 'synthase', 'cystathionine', 'beta-')",4
"('synthase', 'cystathionine', 'beta-', 'synthase')",4
"('initiates', 'fatty', 'acid', 'synthesis')",4
"('cystathionine', 'beta-', 'synthase', 'family')",4
"('Its', 'substrate', 'specificity', 'determines')",4
"('COG', 'NOG23400', 'non', 'supervised')",4
"('TIGRFAM', 'phage', 'regulatory', 'protein')",4
"('NOG23400', 'non', 'supervised', 'orthologous')",4
"('NOG30624', 'non', 'supervised', 'orthologous')",4
"('Plasmid', 'pRiA4b', 'ORF-3-like', 'protein')",4
"('Response', 'regulator', 'containing', 'CheY-like')",4
"('arrested', 'nascent', 'DNA', 'chain')",4
"('helicase', 'DnaB', 'onto', 'DNA')",4
"('Phage', 'conserved', 'hypothetical', 'protein')",4
"('Arsenical', 'Resistance', 'Operon', 'Repressor')",4
"('Heat', 'shock', 'protein', 'DnaJ')",4
"('shock', 'protein', 'DnaJ', 'domain')",4
"('binding', 'protein', 'transpeptidase', 'domain')",4
"('Penicillin', 'binding', 'protein', 'transpeptidase')",4
"('protein', 'DnaJ', 'domain', 'protein')",4
"('SNARE', 'associated', 'Golgi', 'protein')",4
"('CDP-alcohol', 'phosphatidyltransferase', 'class-I', 'family')",4
"('major', 'replicative', 'helicase', 'DnaB')",4
"('replicative', 'helicase', 'DnaB', 'onto')",4
"('COG5614', 'Bacteriophage', 'head-tail', 'adaptor')",4
"('TIGRFAM', 'deoxycytidine', 'triphosphate', 'deaminase')",4
"('DHR', 'GLGF', 'domain', 'protein')",4
"('PDZ', 'DHR', 'GLGF', 'domain')",4
"('Branched-chain', 'amino', 'acid', 'aminotransferase')",4
"('long-chain', 'fatty', 'acid', 'transport')",4
"('fatty', 'acid', 'transport', 'protein')",4
"('PFAM', 'Ferredoxin', 'thioredoxin', 'reductase')",4
"('30S', 'ribosomal', 'subunit', 'biogenesis')",4
"('Cell', 'surface', 'antigen', 'C-terminus')",4
"('family,4Fe-4S', 'iron', 'sulfur', 'cluster')",4
"('O-antigen', 'ligase', 'like', 'membrane')",4
"('ligase', 'like', 'membrane', 'protein')",4
"('conserved', 'hypothetical', 'protein', 'BR0599')",4
"('Also', 'synthesizes', 'adenosylcobalamin', ""5'-phosphate"")",4
"('rRNA', 'precursor', 'transcript', 'even')",4
"('30S', 'rRNA', 'precursor', 'transcript')",4
"('Peptidase', 'U35', 'phage', 'prohead')",4
"('U35', 'phage', 'prohead', 'HK97')",4
"('helix_turn', '_helix', 'lactose', 'operon')",4
"('_helix', 'lactose', 'operon', 'repressor')",4
"('COG', 'NOG13853', 'non', 'supervised')",4
"('NOG13853', 'non', 'supervised', 'orthologous')",4
"('substrate', 'binding', 'protein', 'like')",4
"('Nucleotidyltransferase', 'substrate', 'binding', 'protein')",4
"('family', 'protein', 'Vibrio', 'cholerae')",4
"('ParB', 'family', 'protein', 'Vibrio')",4
"('family', 'protein', 'VC2772', 'imported')",4
"('NOG34759', 'non', 'supervised', 'orthologous')",4
"('ParB', 'family', 'protein', 'VC2772')",4
"('DNA', 'alkylation', 'repair', 'enzyme')",4
"('D82035', 'ParB', 'family', 'protein')",4
"('pir', 'D82035', 'ParB', 'family')",4
"('11280351', 'pir', 'D82035', 'ParB')",4
"('CHROMOSOME', 'PARTITIONING', 'PROTEIN', 'PARB')",4
"('TrkA', 'C-terminal', 'domain', 'protein')",4
"('Processes', '30S', 'rRNA', 'precursor')",4
"('The', 'reaction', 'takes', 'place')",4
"('Mu-like', 'prophage', 'protein', 'Gp16')",4
"('AraC-like', 'ligand', 'binding', 'domain')",4
"('Putative', 'vitamin', 'uptake', 'transporter')",4
"('polymerase', 'transcriptional', 'activator', 'activity')",4
"('Mu-like', 'prophage', 'protein', 'gp36')",4
"('lambda', 'tail', 'assembly', 'protein')",4
"('Nucleotidyltransferase', 'DNA', 'polymerase', 'involved')",4
"('COG4387', 'Mu-like', 'prophage', 'protein')",4
"('SpoIID', 'LytB', 'domain', 'protein')",4
"('synthase', 'homocitrate', 'synthase', 'family')",4
"('COGs', 'COG4387', 'Mu-like', 'prophage')",4
"('Bifunctional', 'purine', 'biosynthesis', 'protein')",4
"('purine', 'biosynthesis', 'protein', 'PurH')",4
"('Archaeal', 'holliday', 'junction', 'resolvase')",4
"('alpha-IPM', 'synthase', 'homocitrate', 'synthase')",4
"('function', 'transcriptional', 'attenuator', 'common')",3
"('Lambda', 'phage', 'tail', 'tape-measure')",3
"('binding-protein-dependent', 'transport', 'systems', 'inner')",3
"('transcriptional', 'attenuator', 'common', 'domain')",3
"('phage', 'tail', 'tape-measure', 'protein')",3
"('synthetase', 'alpha', 'subunit', 'type')",3
"('Phe-tRNA', 'synthetase', 'alpha', 'subunit')",3
"('Phage', 'regulatory', 'protein', 'rha')",3
"('chain', 'termination', 'codons', 'UAG')",3
"('COG', 'NOG16623', 'non', 'supervised')",3
"('NOG16623', 'non', 'supervised', 'orthologous')",3
"('Cold-shock', 'DNA-binding', 'domain', 'protein')",3
"('tail', 'tube', 'protein', 'family')",3
"('6-phosphogluconolactonase', 'Glucosamine-6-phosphate', 'isomerase', 'deaminase')",3
"('ABC-type', 'transport', 'system', 'involved')",3
"('COG', 'NOG27649', 'non', 'supervised')",3
"('alpha', 'beta', 'domain', 'protein')",3
"('COG', 'COG1674', 'DNA', 'segregation')",3
"('Conjugative', 'transposon', 'TraK', 'protein')",3
"('COG0424', 'Nucleotide-binding', 'protein', 'implicated')",3
"('NOG34358', 'non', 'supervised', 'orthologous')",3
"('COG', 'NOG34358', 'non', 'supervised')",3
"('COG', 'NOG28036', 'non', 'supervised')",3
"('DNA', 'wraps', 'around', 'one')",3
"('DNA', 'replication', 'origin', 'binding')",3
"('Unlike', 'classic', 'ABC', 'transporters')",3
"('generate', '2-deoxy-', 'D-ribose', '5-phosphate')",3
"('NOG27649', 'non', 'supervised', 'orthologous')",3
"('NOG28036', 'non', 'supervised', 'orthologous')",3
"('Nucleotidyltransferase', 'substrate-binding', 'family', 'protein')",3
"('Phosphate', 'starvation-inducible', 'protein', 'PhoH')",3
"('PFAM', 'IS66', 'Orf2', 'like')",3
"('small', 'molecule', 'binding', 'domain')",3
"('Tfp', 'pilus', 'assembly', 'pathway')",3
"('COG0739', 'Membrane', 'proteins', 'related')",3
"('NOG27661', 'non', 'supervised', 'orthologous')",3
"('Catalytic', 'beta', 'propeller', 'domain')",3
"('wraps', 'around', 'one', 'UvrB')",3
"('This', 'enzyme', 'utilizes', 'acyl-ACP')",3
"('around', 'one', 'UvrB', 'monomer')",3
"('PFAM', 'StbA', 'family', 'protein')",3
"('T4-like', 'phage', 'nuclear', 'disruption')",3
"('COG', 'NOG18757', 'non', 'supervised')",3
"('PulE', 'Tfp', 'pilus', 'assembly')",3
"('COG', 'COG3210', 'Large', 'exoproteins')",3
"('nucleotidyltransferase', 'substrate', 'binding', 'protein')",3
"('YadA-like', 'membrane', 'anchor', 'domain')",3
"('TIGRFAM', 'nucleotidyltransferase', 'substrate', 'binding')",3
"('probes', 'one', 'DNA', 'strand')",3
"('UvrB', 'probes', 'one', 'DNA')",3
"('acetolactate', 'synthase', 'large', 'subunit')",3
"('phage', 'nuclear', 'disruption', 'protein')",3
"('Sporulation', 'integral', 'membrane', 'protein')",3
"('integral', 'membrane', 'protein', 'YlbJ')",3
"('unsaturated', 'fatty', 'acids', 'biosynthesis')",3
"('AIR', 'synthase', 'related', 'protein')",3
"('multi-copper', 'enzyme', 'maturation', 'permease')",3
"('either', 'pyridoxine', ""5'-"", 'phosphate')",3
"('ATPase', 'PulE', 'Tfp', 'pilus')",3
"('enzyme', 'maturation', 'permease', 'component')",3
"('regulates', 'PTS-catalyzed', 'carbohydrate', 'uptake')",3
"('mediates', 'carbon', 'catabolite', 'repression')",3
"('Phage', 'replication', 'protein', 'CRI')",3
"('rapidly', 'metabolisable', 'carbon', 'sources')",3
"('The', 'two', 'antagonistic', 'activities')",3
"('NOG18757', 'non', 'supervised', 'orthologous')",3
"('methylase', 'N-4', 'N-6', 'domain')",3
"('N-4', 'N-6', 'domain', 'protein')",3
"('BlaI', 'MecI', 'CopY', 'family')",3
"('COG', 'NOG27661', 'non', 'supervised')",3
"('transport', 'systems', 'inner', 'membrane')",3
"('Winged', 'helix', 'DNA-binding', 'domain')",3
"('systems', 'inner', 'membrane', 'component')",3
"('HpcH', 'HpaI', 'aldolase', 'family')",3
"('Baseplate', 'hub', 'distal', 'subunit')",3
"('NADPH-dependent', 'glutamate', 'synthase', 'beta')",3
"('COG0493', 'NADPH-dependent', 'glutamate', 'synthase')",3
"('transporter', 'substrate-binding', 'protein', 'PnrA-like')",3
