trigram,freq
"('polymerase', 'transcription', 'elongation')",7
"('transcription', 'elongation', 'past')",7
"('elongation', 'past', 'template-encoded')",7
"('past', 'template-encoded', 'arresting')",7
"('TsaD', 'likely', 'plays')",7
"('direct', 'catalytic', 'role')",7
"('queuine', 'precursor', '7-aminomethyl-7-deazaguanine')",7
"('anticodon', 'wobble', 'position')",7
"('The', 'nucleophile', 'active')",7
"('nucleophile', 'active', 'site')",7
"('active', 'site', 'attacks')",7
"('The', 'proton', 'acceptor')",7
"('efficient', 'RNA', 'polymerase')",7
"('proton', 'acceptor', 'active')",7
"('acceptor', 'active', 'site')",7
"('Putative', 'diguanylate', 'phosphodiesterase')",7
"('active', 'site', 'deprotonates')",7
"('two', 'additional', 'enzymatic')",7
"('additional', 'enzymatic', 'reactions')",7
"('binding', 'protein', 'LacI')",7
"('protein', 'LacI', 'transcriptional')",7
"('LacI', 'transcriptional', 'regulator')",7
"('tRNA', 'convert', 'PreQ1')",7
"('nucleoid-associated', 'bacterial', 'protein')",7
"('EDD', 'domain', 'protein')",7
"('bacteriophage', 'base', 'plate')",7
"('transferring', 'glycosyl', 'groups')",7
"('contacts', 'several', 'helices')",7
"('posttransfer', 'editing', 'activity')",7
"('COG0175', '3-phosphoadenosine', '5-phosphosulfate')",7
"('3-phosphoadenosine', '5-phosphosulfate', 'sulfotransferase')",7
"('alpha-helical', 'domain', 'protein')",7
"('two-step', 'reaction', 'tyrosine')",7
"('cAMP', 'protein', 'fic')",7
"('protein', 'beta-barrel', 'family')",7
"('form', 'Tyr-', 'AMP')",7
"('Phage', 'related', 'hypothetical')",7
"('related', 'hypothetical', 'protein')",7
"('linkage', 'domain', 'protein')",7
"('isopeptide', 'linkage', 'domain')",7
"('Pilin', 'isopeptide', 'linkage')",7
"('COG', 'COG0175', '3-phosphoadenosine')",7
"('Pathogenesis-related', 'transcriptional', 'factor')",7
"('GDP-mannose', 'dehydrogenase', 'family')",7
"('PFAM', 'Pathogenesis-related', 'transcriptional')",7
"('PFAM', 'Phage', 'regulatory')",7
"('PFAM', 'Phage', 'portal')",7
"('EamA-like', 'transporter', 'family')",7
"(',4Fe-4S', 'single', 'cluster')",7
"('COG1403', 'Restriction', 'endonuclease')",7
"('family', 'transcriptional', 'regulator')",7
"('extracellular', 'polysaccharide', 'biosynthetic')",7
"('polysaccharide', 'biosynthetic', 'process')",7
"('initiates', 'DNA', 'replication')",7
"('octopine', 'nopaline', 'dehydrogenase')",7
"('D-alanine', 'ligase', 'family')",7
"('COG1132', 'ABC-type', 'multidrug')",7
"('two', 'adjacent', 'adenosines')",7
"('dimethylates', 'two', 'adjacent')",7
"('Specifically', 'dimethylates', 'two')",7
"('locked', 'ternary', 'complexes')",7
"('manganese', 'efflux', 'pump')",7
"('NAD', 'NADP', 'octopine')",7
"('HipA-like', 'C-terminal', 'domain')",7
"('NADP', 'octopine', 'nopaline')",7
"('Aerobic-type', 'carbon', 'monoxide')",7
"('carbon', 'monoxide', 'dehydrogenase')",7
"('conserved', 'hairpin', 'near')",7
"('small', 'subunit', 'CoxS')",7
"('transporter', 'substrate-binding', 'protein')",7
"('shock', 'protein', 'binding')",7
"('PFAM', 'Peptidase', 'S24')",7
"('hydrolyzes', 'mischarged', 'Thr-tRNA')",7
"('GreA', 'releases', 'sequences')",7
"('peptidase', 'S41A', 'family')",6
"('methyl-directed', 'DNA', 'mismatch')",6
"('Tetratricopeptide', 'repeat', 'protein')",6
"('Winged', 'helix-turn-helix', 'DNA-binding')",6
"('may', 'promote', 'strand')",6
"('COG4397', 'Mu-like', 'prophage')",6
"('bd-type', 'quinol', 'oxidase')",6
"('Crossover', 'junction', 'endodeoxyribonuclease')",6
"('junction', 'endodeoxyribonuclease', 'RuvC')",6
"('Cytochrome', 'bd-type', 'quinol')",6
"('ATP-dependent', 'manner', 'without')",6
"('single-stranded', 'DNA-binding', 'protein')",6
"('final', 'effector', 'complex')",6
"('COG1294', 'Cytochrome', 'bd-type')",6
"('promote', 'strand', 'exchange')",6
"('competence', 'protein', 'COMEC')",6
"('quinol', 'oxidase', 'subunit')",6
"('defense', 'system', 'toward')",6
"('dam-dependent', 'methyl-directed', 'DNA')",6
"('renatures', 'cruciform', 'structure')",6
"('DNA', 'helicase', 'recG')",6
"('helicase', 'recG', 'C-terminal')",6
"('Cell', 'envelope-related', 'transcriptional')",6
"('Mg2+', 'transporter', 'protein')",6
"('envelope-related', 'transcriptional', 'attenuator')",6
"('Tail', 'fiber', 'protein')",6
"('secretion', 'system', 'VasI')",6
"('aromatic', 'amino', 'acids')",6
"('phage', 'phi', 'LC3')",6
"('phi', 'LC3', 'family')",6
"('transcriptional', 'attenuator', 'domain')",6
"('TonB-dependent', 'Receptor', 'Plug')",6
"('Pyrimidine', 'dimer', 'DNA')",6
"('bacterial-type', 'RNA', 'polymerase')",6
"('dimer', 'DNA', 'glycosylase')",6
"('CorA-like', 'Mg2+', 'transporter')",6
"('dCTP', 'diphosphatase', 'activity')",6
"('Putative', 'ATP-dependent', 'DNA')",6
"('bacterial', 'defense', 'system')",6
"('ATP', 'renatures', 'cruciform')",6
"('Redox', 'regulated', 'molecular')",6
"('The', 'RuvA-RuvB', 'complex')",6
"('synthesis', 'protein', 'PGA_cap')",6
"('regulated', 'molecular', 'chaperone')",6
"('oxidatively', 'damaged', 'proteins')",6
"('The', 'N-terminal', 'half')",6
"('energically', 'less', 'costly')",6
"('system', 'toward', 'oxidative')",6
"('SpoU', 'rRNA', 'Methylase')",6
"('rRNA', 'Methylase', 'family')",6
"('toward', 'oxidative', 'stress')",6
"('SH3', 'domain', 'homologues')",6
"('salvage', 'reaction', 'resulting')",6
"('COGs', 'COG4397', 'Mu-like')",6
"('enzyme', '1,23S', 'rRNA-intervening')",6
"('Holliday', 'junction', 'migration')",6
"('Pilus', 'assembly', 'protein')",6
"('sulfur', 'carrier', 'protein')",6
"('ABC', 'transporter', 'substrate-binding')",6
"('pyridine', 'nucleotide-disulfide', 'oxidoreductase')",6
"('DnaJ', 'domain', 'protein')",6
"('carrier', 'protein', 'ThiS')",6
"('D-fructose-1,6-bisphosphate', '1-phosphohydrolase', 'class')",6
"('two-step', 'NADP-dependent', 'conversion')",6
"('potassium', 'uptake', 'protein')",6
"('structural', 'molecule', 'activity')",6
"('RecBC-independent', 'recombinational', 'process')",6
"('activity,4Fe-4S', 'single', 'cluster')",6
"('Iron-sulfur', 'cluster-binding', 'domain')",6
"('IS66', 'Orf2', 'like')",6
"('pilus', 'gene', 'clusters')",6
"('helix', 'repeat', 'protein')",6
"('DNA', 'wraps', 'around')",6
"('COG', 'COG1132', 'ABC-type')",6
"('transporter', 'atp-binding', 'protein')",6
"('Site-specific', 'tyrosine', 'recombinase')",6
"('protein,4Fe-4S', 'single', 'cluster')",6
"('capsid', 'protein', 'Gp23')",6
"('pseudouridine', 'synthase', 'RsuA')",6
"('synthase', 'RsuA', 'family')",6
"('Relaxase/Mobilisation', 'nuclease', 'domain')",6
"('abc', 'transporter', 'atp-binding')",6
"('PFAM', 'IstB-like', 'ATP')",6
"('acid', 'transport', 'system')",6
"('CTP', 'reductase', 'activity')",6
"('ligand', 'binding', 'domain')",6
"('sensor', 'histidine', 'kinase')",6
"('two-component', 'sensor', 'histidine')",6
"('FtsK', 'SpoIIIE', 'family')",6
"('Orf2', 'like', 'protein')",6
"('transport', 'system', 'protein')",6
"('recombining', 'DNA', 'molecules')",6
"('phageSPP1_gp7', 'phage', 'head')",6
"('phosphatase', 'family', 'protein')",6
"('1,23S', 'rRNA-intervening', 'sequence')",6
"('factor', 'enzyme', '1,23S')",6
"('DegV', 'family', 'COG1307')",6
"('DNA', 'primase', 'catalytic')",6
"('Membrane-associated', 'phospholipid', 'phosphatase')",6
"('phage', 'head', 'morphogenesis')",6
"('PFAM', 'Tellurite', 'resistance')",6
"('gp7', 'family', 'domain')",6
"('initiation', 'factor', 'Spo0A')",6
"('Sporulation', 'initiation', 'factor')",6
"('This', 'protein', 'promotes')",6
"('Probable', 'Zinc-ribbon', 'domain')",6
"('COG0338', 'Site-specific', 'DNA')",6
"('primase', 'catalytic', 'core')",6
"('COG3723', 'Recombinational', 'DNA')",6
"('Fe2', 'transport', 'system')",6
"('NOG18028', 'non', 'supervised')",6
"('Probably', 'functions', 'indirectly')",6
"('propylamine', 'donor', 'required')",6
"('reconstituted', '70S', 'ribosomes')",6
"('Stimulates', 'efficient', 'translation')",6
"('peptide', 'bond', 'synthesis')",6
"('phosphoglycerate', 'kinase', 'family')",6
"('COG', 'NOG18028', 'non')",6
"('CoA-substrate-specific', 'enzyme', 'activase')",6
"('secretory', 'protein', 'family')",6
"('unsaturated', 'fatty', 'acids')",6
"('Cysteine-rich', 'secretory', 'protein')",6
"('sugar', 'transport', 'system')",6
"('strand', 'exchange', 'reactions')",6
"('COG0507', 'ATP-dependent', 'exoDNAse')",6
"('dna-directed', 'rna', 'polymerase')",6
"('Glycine', 'rich', 'protein')",6
"('primary', 'rRNA', 'transcript')",6
"('translocase', 'SecG', 'subunit')",6
"('COG', 'NOG14118', 'non')",6
"('cell', 'envelope-related', 'function')",6
"('PFAM', 'phage', 'portal')",6
"('Processes', 'pre-', 'crRNA')",6
"('Concanavalin', 'A-like', 'lectin/glucanases')",6
"('neurotransmitter', 'symporter', 'family')",6
"('TIGRFAM', 'ABC', 'transporter')",6
"('DNA', 'repair', 'enzyme')",6
"('fatty', 'acyl', 'donor')",6
"('nucleotide', 'precursor', 'UDP-N-acetylmuramoyl-L-alanyl-D-glutamate')",6
"('This', 'enzyme', 'utilizes')",6
"('bacterial', 'cell-wall', 'peptidoglycan')",6
"('corresponding', 'ketose', 'L-fuculose')",6
"('nuclease', 'family', 'transposase')",6
"('A-like', 'lectin/glucanases', 'superfamily')",6
"('Accessory', 'gene', 'regulator')",6
"('ATP-dependent', 'zinc', 'metallopeptidase')",6
"('two-step', 'reaction', 'L-threonine')",6
"('NOG14118', 'non', 'supervised')",6
"('dUTP', 'diphosphatase', 'activity')",6
"('two', 'additional', 'distinct')",6
"('contains', 'double-stranded', 'beta-helix')",6
"('protein', 'contains', 'double-stranded')",6
"('protease', 'proteolytic', 'subunit')",6
"('Clp', 'protease', 'proteolytic')",6
"('COG1484', 'DNA', 'replication')",6
"('double-stranded', 'beta-helix', 'domain')",6
"('Digests', 'double-stranded', 'RNA')",6
"('ATP-dependent', 'Clp', 'protease')",6
"('DNA', 'polymerase', 'type-Y')",6
"('polymerase', 'type-Y', 'family')",6
"('Cell', 'cycle', 'protein')",6
"('prolyl-tRNA', 'editing', 'family')",5
"('YbaK', 'EbsC', 'subfamily')",5
"('ABC-type', 'sugar', 'transport')",5
"('like', 'common', 'ATP-dependent')",5
"('protein', 'B-type', 'domain')",5
"('common', 'ATP-dependent', 'phosphofructokinases')",5
"('Cna', 'protein', 'B-type')",5
"('Tellurium', 'resistance', 'protein')",5
"('Tail', 'tape', 'measure')",5
"('resistance', 'protein', 'TerD')",5
"('GTP-binding', 'protein', 'TypA')",5
"('Putative', 'vitamin', 'uptake')",5
"('tRNA', 'synthetases', 'class')",5
"('helix_turn_helix', 'gluconate', 'operon')",5
"('family', 'transporter', 'protein')",5
"('starvation-inducible', 'protein', 'PhoH')",5
"('polymerase', 'type-B', 'family')",5
"('protein', 'beta-barrel', 'domain')",5
"('DNA', 'polymerase', 'type-B')",5
"('COG', 'COG1484', 'DNA')",5
"('two', 'phosphate', 'ions')",5
"('COG', 'COG3335', 'Transposase')",5
"('forming', 'two', 'phosphate')",5
"('ABC-2', 'family', 'transporter')",5
"('Swim', 'zinc', 'finger')",5
"('gluconate', 'operon', 'transcriptional')",5
"('PPIC-type', 'PPIASE', 'domain')",5
"('peptidoglycan', 'receptor', 'activity')",5
"('PFAM', 'ADP-ribosylation', 'Crystallin')",5
"('Putative', 'inner', 'membrane')",5
"('additional', 'distinct', 'tRNA')",5
"('Gram-negative', 'porin', 'family')",5
"('PEP-utilizing', 'enzyme', 'family')",5
"('-dependent', 'editing', 'activities')",5
"('operon', 'transcriptional', 'repressor')",5
"('ATP', 'like', 'common')",5
"('integration', 'host', 'factor')",5
"('extracellular', 'solute-binding', 'proteins')",5
"('PFAM', 'Phage', 'minor')",5
"('score', '8.87,3D', 'domain')",5
"('Metallo-beta-lactamase', 'domain', 'protein')",5
"('synthase', 'small', 'chain')",5
"('Carbamoyl-phosphate', 'synthase', 'small')",5
"('aldo', 'keto', 'reductase')",5
"('SpoIIIE', 'family', 'protein')",5
"('ribosyl', 'phosphate', 'group')",5
"('COG', 'NOG32529', 'non')",5
"('C-terminal', 'PDZ', 'domain')",5
"('contain', 'C-terminal', 'PDZ')",5
"('PNKP', 'adenylyltransferase', 'domain')",5
"('Trypsin-like', 'serine', 'proteases')",5
"('toxin-antitoxin', 'system', 'HigB')",5
"('Ser', 'Thr', 'phosphatase')",5
"('Helicase', 'associated', 'domain')",5
"('Thr', 'phosphatase', 'family')",5
"('polymerase', 'III', 'subunit')",5
"('transferase', 'hexapeptide', 'repeat')",5
"('hexapeptide', 'repeat', 'protein')",5
"('COG', 'COG0338', 'Site-specific')",5
"('synthase', 'large', 'subunit')",5
"('Plasmid', 'encoded', 'RepA')",5
"('thiamine', 'biosynthesis', 'pathway')",5
"('encoded', 'RepA', 'protein')",5
"(""Appr-1'-p"", 'processing', 'enzyme')",5
"('phosphoryl', 'donor', 'instead')",5
"('Uses', 'inorganic', 'phosphate')",5
"('Iron-containing', 'alcohol', 'dehydrogenase')",5
"('Flp', 'pilus', 'assembly')",5
"('AraC', 'family', 'transcriptional')",5
"('cellular', 'division', 'facilitating')",5
"('asymmetric', 'cellular', 'division')",5
"('transporter', 'FtsEX', 'involved')",5
"('ABC', 'transporter', 'FtsEX')",5
"('up-regulated', 'gene', '113')",5
"('Meiotically', 'up-regulated', 'gene')",5
"('membrane', 'protein', 'Omp28')",5
"('reversible', 'NADPH', 'linked')",5
"('NADPH', 'linked', 'reduction')",5
"('transport', 'regulator', 'FecR')",5
"('dicitrate', 'transport', 'regulator')",5
"('Iron', 'dicitrate', 'transport')",5
"('NOG32529', 'non', 'supervised')",5
"('tail', 'assembly', 'protein')",5
"('membrane', 'lipid', 'bilayer')",5
"('2-methyl-4-amino-5-hydroxymethyl', 'pyrimidine', 'pyrophosphate')",5
"('bacterial', 'solute-binding', 'protein')",5
"('Plasmid', 'recombination', 'enzyme')",5
"('Lactococcus', 'lactis', 'bacteriophage')",5
"('isopeptide', 'containing', 'domain')",5
"('Spy0128-like', 'isopeptide', 'containing')",5
"('TIGRFAM', 'phage', 'protein')",5
"('lactis', 'bacteriophage', 'major')",5
"('bacteriophage', 'major', 'structural')",5
"('COG1192', 'ATPases', 'involved')",5
"('major', 'structural', 'protein')",5
"('peptidoglycan', 'strands', 'endolytically')",5
"('nascent', 'peptidoglycan', 'strands')",5
"('glycosyl', 'transferase', 'family')",5
"('cleaves', 'nascent', 'peptidoglycan')",5
"('form', 'thiamine', 'monophosphate')",5
"('small', 'peptide', 'fragments')",5
"('ribosome', 'quality', 'control')",5
"('70S', 'ribosome', 'quality')",5
"('late-stage', '70S', 'ribosome')",5
"('strand-specific', 'metallo-endoribonuclease', 'involved')",5
"('Single', 'strand-specific', 'metallo-endoribonuclease')",5
"('TIGRFAM', 'phage', 'minor')",5
"('Mate', 'efflux', 'family')",5
"('Receptor', 'Plug', 'Domain')",5
"('TIGRFAM', 'Phage', 'terminase')",5
"('regulatory', 'helix-turn-helix', 'protein')",5
"('Bacterial', 'regulatory', 'helix-turn-helix')",5
"('Cupin', 'domain', 'protein')",5
"('ribosomal', 'subunit', 'assembly')",5
"('Has', 'GTPase', 'activity')",5
"('amino', 'acids', 'long')",5
"('yield', 'small', 'peptide')",5
"('May', 'also', 'transport')",5
"('PFAM', 'Yqey-like', 'protein')",5
"('COG', 'COG3547', 'Transposase')",5
"('phage', 'minor', 'tail')",5
"('glycerophosphoryl', 'diester', 'phosphodiesterase')",5
"('response', 'associated', 'peptidase')",5
"('binds', 'specifically', 'double-stranded')",5
"('specifically', 'double-stranded', 'DNA')",5
"('epsilon', 'subunit', 'contain')",5
"('binding-protein-dependent', 'transport', 'system')",5
"('The', 'epsilon', 'subunit')",5
"('family,23S', 'rRNA-intervening', 'sequence')",5
"('system', 'permease', 'family')",5
"('SOS', 'response', 'associated')",5
"('Prophage', 'tail', 'length')",5
"('COG0577', 'ABC-type', 'antimicrobial')",5
"('HisF', 'subunit', 'catalyzes')",5
"('Degrades', 'polypeptides', 'processively')",5
"('The', 'HisF', 'subunit')",5
"('sodium', 'solute', 'symporter')",5
"('EcsC', 'protein', 'family')",5
"('COG', 'COG3291', 'FOG')",5
"('COG3291', 'FOG', 'PKD')",5
"('FOG', 'PKD', 'repeat')",5
"('conjugative', 'element', 'protein')",5
"('Integrating', 'conjugative', 'element')",5
"('ORF', 'located', 'using')",5
"('located', 'using', 'Glimmer')",5
"('using', 'Glimmer', 'RBSfinder')",5
"('certain', 'short-lived', 'regulatory')",5
"('short-lived', 'regulatory', 'proteins')",5
"('developmental', 'changes', 'induced')",5
"('2-hydroxyacid', 'dehydrogenase', 'family')",5
"('system', 'ATPase', 'component')",5
"('Mediates', 'zinc', 'uptake')",5
"('metallo-dependent', 'hydrolases', 'superfamily')",5
"('This', 'protein', 'specifically')",5
"('protein', 'specifically', 'catalyzes')",5
"('base-free', 'deoxyribose', '5-phosphate')",5
"('produce', 'new', ""5'-ends"")",5
"('cleaves', 'phosphodiester', 'bonds')",5
"('Thiamine', 'pyrophosphate', 'enzyme')",5
"('growing', 'alpha-1,4-glucan', 'chains')",5
"('phage', 'Tail', 'Collar')",5
"('Parallel', 'beta-helix', 'repeats')",5
"('Transporter', 'associated', 'domain')",5
"('Tail', 'tubular', 'protein')",5
"('acid', 'cation', 'symporter')",5
"('amino', 'acid', 'cation')",5
"('dicarboxylate', 'amino', 'acid')",5
"('Asp-box', 'repeat', 'protein')",5
"('deoxyribose', '5-phosphate', 'residues')",5
"('BNR', 'Asp-box', 'repeat')",5
"('TIGRFAM', 'anaerobic', 'ribonucleoside-triphosphate')",5
"('reductase', 'nrd', 'genes')",5
"('ribonucleotide', 'reductase', 'nrd')",5
"('bacterial', 'ribonucleotide', 'reductase')",5
"('Negatively', 'regulates', 'transcription')",5
"('phage', 'envelope', 'protein')",5
"('DNA', 'catabolic', 'process')",5
"('allylic', 'pyrophosphates', 'generating')",5
"('Methionine', 'biosynthesis', 'protein')",5
"('biosynthesis', 'protein', 'MetW')",5
"('pyrophosphates', 'generating', 'different')",5
"('generating', 'different', 'type')",5
"('pressure', 'changes', 'within')",5
"('SMART', 'AAA', 'ATPase')",5
"('osmotic', 'pressure', 'changes')",5
"('preferentially', 'attacks', 'modified')",5
"('helicase', 'nuclease', 'subunit')",5
"('PFAM', 'TROVE', 'domain')",5
"('NAD-binding', 'Rossmann', 'fold')",5
"('cancer', 'carboxy-terminal', 'domain')",5
"('May', 'also', 'act')",5
"('breast', 'cancer', 'carboxy-terminal')",5
"('ATP-dependent', 'helicase', 'nuclease')",5
"('Coenzyme', 'F420', 'hydrogenase/dehydrogenase')",4
"('synthase', 'cystathionine', 'beta-')",4
"('CAAX', 'amino', 'terminal')",4
"('family,4Fe-4S', 'single', 'cluster')",4
"('Nitrilase', 'cyanide', 'hydratase')",4
"('COG', 'COG0740', 'Protease')",4
"('COG5614', 'Bacteriophage', 'head-tail')",4
"('Mu-like', 'prophage', 'host-nuclease')",4
"('beta-', 'synthase', 'family')",4
"('restriction', 'endodeoxyribonuclease', 'activity')",4
"('NOG23194', 'non', 'supervised')",4
"('UDP', 'binding', 'domain')",4
"('diguanylate', 'cyclase', 'activity')",4
"('DNA/RNA', 'non-specific', 'endonuclease')",4
"('Plasmid', 'pRiA4b', 'ORF-3-like')",4
"('pRiA4b', 'ORF-3-like', 'protein')",4
"('PFAM', 'Nitrilase', 'cyanide')",4
"('boxA', 'antiterminator', 'sequence')",4
"('CHAP', 'domain', 'protein')",4
"('single-species', 'biofilm', 'formation')",4
"('called', 'quorum', 'sensing')",4
"('ATCase', 'OTCase', 'family')",4
"('COG1674', 'DNA', 'segregation')",4
"('cystathionine', 'beta-', 'synthase')",4
"('ester', 'hydrolase', 'activity')",4
"('Pyridine', 'nucleotide-disulphide', 'oxidoreductase')",4
"('-dependent', 'epimerase', 'dehydratase')",4
"('cheY-homologous', 'receiver', 'domain')",4
"('TIGRFAM', 'phage', 'regulatory')",4
"('metal', 'ion', 'binding')",4
"('protein', 'phosphatase', 'family')",4
"('transcriptional', 'regulatory', 'protein')",4
"('DNA', 'replication', 'origin')",4
"('Nucleotidyltransferase', 'DNA', 'polymerase')",4
"('amino', 'terminal', 'protease')",4
"('GyrI-like', 'small', 'molecule')",4
"('prophage', 'protein', 'GP36')",4
"('Putative', 'amidase', 'domain')",4
"('synthetase', 'large', 'chain')",4
"('Carbamoyl-phosphate', 'synthetase', 'large')",4
"('NOG28456', 'non', 'supervised')",4
"('DEAD-like', 'helicases', ""superfamily,5'-3"")",4
"('Endonuclease', 'Exonuclease', 'phosphatase')",4
"('Membrane', 'proteins', 'related')",4
"('Streptococcus', 'thermophilus', 'bacteriophage')",4
"('thermophilus', 'bacteriophage', 'Sfi19')",4
"(',4Fe-4S', 'iron', 'sulfur')",4
"('9632919', 'ref', 'NP_049948.1')",4
"('Exonuclease', 'phosphatase', 'family')",4
"('periplasmic', 'substrate-binding', 'proteins')",4
"('Bacterial', 'periplasmic', 'substrate-binding')",4
"('Trypsin-like', 'peptidase', 'domain')",4
"('motif', 'family', 'protein')",4
"('LTXXQ', 'motif', 'family')",4
"('COG', 'NOG28456', 'non')",4
"('COG', 'COG3209', 'Rhs')",4
"('sty2063', 'SWALL', 'Q8Z5Z8')",4
"('terminal', 'protease', 'family')",4
"('small', 'molecule', 'binding')",4
"('Bacteriophage', 'head-tail', 'adaptor')",4
"('COG0454', 'Histone', 'acetyltransferase')",4
"('Histone', 'acetyltransferase', 'HPA2')",4
"('homocitrate', 'synthase', 'family')",4
"('Forkhead', 'associated', 'domain')",4
"('secretion', 'pathway', 'protein')",4
"('bubble', 'DNA', 'binding')",4
"('inhibitor', 'protein', 'Gam')",4
"('reductase', 'like', 'domain')",4
"('DNA-binding', 'domain', 'protein')",4
"('Flavin', 'reductase', 'like')",4
"('ATP-dependent', 'Clp', 'proteases')",4
"('prophage', 'host-nuclease', 'inhibitor')",4
"('host-nuclease', 'inhibitor', 'protein')",4
"('synthase', 'homocitrate', 'synthase')",4
"('alpha-IPM', 'synthase', 'homocitrate')",4
"('host', 'mucosal', 'sites')",4
"('Arsenical', 'Resistance', 'Operon')",4
"('Resistance', 'Operon', 'Repressor')",4
"('vitamin', 'uptake', 'transporter')",4
"('mammalian', 'host', 'mucosal')",4
"('acid', 'commonly', 'found')",4
"('sialic', 'acid', 'commonly')",4
"('alternative', 'sialic', 'acid')",4
"('twin', 'BRCT', 'domain')",4
"('unknown', 'function', 'DUF72')",4
"('Archaeal', 'holliday', 'junction')",4
"('cell', 'redox', 'homeostasis')",4
"('Peptidase', 'family', 'M20/M25/M40')",4
"('signal', 'peptide', 'processing')",4
"('amino', 'acid', 'aminotransferase')",4
"('PDZ', 'DHR', 'GLGF')",4
"('DHR', 'GLGF', 'domain')",4
"('carbohydrate', 'kinase', 'FGGY')",4
"('Rad52/22', 'family', 'double-strand')",4
"('ATP', 'cone', 'domain')",4
"('acetyl', 'transacylase', 'activities')",4
"('Cyclic', 'nucleotide-binding', 'domain')",4
"('NOG23400', 'non', 'supervised')",4
"('COG', 'NOG23400', 'non')",4
"('hydrolyzing', 'O-glycosyl', 'compounds')",4
"('substrate', 'specificity', 'determines')",4
"('Its', 'substrate', 'specificity')",4
"('fatty', 'acid', 'production')",4
"('family', 'double-strand', 'break')",4
"('SpoIID', 'LytB', 'domain')",4
"('LytB', 'domain', 'protein')",4
"('may', 'therefore', 'play')",4
"('initiates', 'fatty', 'acid')",4
"('first', 'condensation', 'reaction')",4
"('system', 'permease', 'protein')",4
"('GLGF', 'domain', 'protein')",4
"('epsilon', 'subunit', 'family')",4
"('first', 'step', 'cysteine')",4
"('murein', 'hydrolase', 'LrgA')",4
"('alkylation', 'repair', 'enzyme')",4
"('cell', 'wall', 'biogenesis')",4
"('family,4Fe-4S', 'iron', 'sulfur')",4
"('surface', 'antigen', 'C-terminus')",4
"('Cell', 'surface', 'antigen')",4
"('synthase', 'beta', 'chain')",4
"('Alpha/beta', 'hydrolase', 'family')",4
"('O-antigen', 'ligase', 'like')",4
"('phosphatidyltransferase', 'class-I', 'family')",4
"('CDP-alcohol', 'phosphatidyltransferase', 'class-I')",4
"('protein', 'DnaJ', 'domain')",4
"('shock', 'protein', 'DnaJ')",4
"('Heat', 'shock', 'protein')",4
"(""-3',8-cyclo-7,8-"", 'dihydroguanosine', ""5'-triphosphate"")",4
"('DNA', 'alkylation', 'repair')",4
"('ligase', 'like', 'membrane')",4
"('SNARE', 'associated', 'Golgi')",4
"('synthetase', 'beta', 'subunit')",4
"('associated', 'Golgi', 'protein')",4
"('response-associated', 'peptidase', 'family')",4
"('SOS', 'response-associated', 'peptidase')",4
"('Penicillin', 'binding', 'protein')",4
"('binding', 'protein', 'transpeptidase')",4
"('protein', 'transpeptidase', 'domain')",4
"('YopX', 'protein,3D', 'domain')",4
"('like', 'membrane', 'protein')",4
"('AraC-like', 'ligand', 'binding')",4
"('prophage', 'protein', 'Gp16')",4
"('deoxycytidine', 'triphosphate', 'deaminase')",4
"('TIGRFAM', 'deoxycytidine', 'triphosphate')",4
"('COG3279', 'Response', 'regulator')",4
"('LytR', 'AlgR', 'family')",4
"('nucleotide-binding', 'domain', 'protein')",4
"('Catalyzes', 'two', 'steps')",4
"('containing', 'CheY-like', 'receiver')",4
"('COG', 'NOG28221', 'non')",4
"('Cold-shock', 'DNA-binding', 'domain')",4
"('Specifically', 'methylates', 'position')",4
"('Type', 'IIA', 'topoisomerase')",4
"('DNA', 'gyrase', 'topo')",4
"('SrmB-', 'binding', 'site')",4
"('Phage', 'integrase', ""family,3'-to-5"")",4
"('NOG28221', 'non', 'supervised')",4
"('Amino', 'acid', 'permease')",4
"('synthetase', 'alpha', 'subunit')",4
"('NOG30624', 'non', 'supervised')",4
"('COG', 'NOG30624', 'non')",4
"('weak', 'ATPase', 'activity')",4
"('tail', 'fiber', 'protein')",4
"('FAD', 'binding', 'domain')",4
"('XRE-family', 'like', 'proteins,4Fe-4S')",4
"('Putative', 'threonine/serine', 'exporter')",4
"('UvrD/REP', 'helicase', 'N-terminal')",4
"('repeat-associated', 'core', 'domain')",4
"('pfkB', 'family', 'carbohydrate')",4
"('family', 'carbohydrate', 'kinase')",4
"('transcriptional', 'activator', 'activity')",4
"('dehydratase', 'family', 'protein')",4
"('polymerase', 'transcriptional', 'activator')",4
"('RNA', 'polymerase', 'transcriptional')",4
"('Plasmid', 'replication', 'protein')",4
"('diester', 'phosphodiesterase', 'family')",4
"('spore', 'germination', 'protein')",4
"('tail', 'fibre', 'protein')",4
"('ParB-like', 'nuclease', 'domain,3D')",4
"('nuclease', 'domain,3D', 'domain')",4
"('Bacteriophage', 'protein', 'GP30.3')",4
"('Glycerophosphoryl', 'diester', 'phosphodiesterase')",4
"('PFAM', 'FRG', 'domain')",4
"('helicase', 'N-terminal', 'domain')",4
"('pyridoxal', 'binding', 'domain')",4
"('FOG', 'TPR', 'repeat')",4
"('normal', 'SOS', 'inducibility')",4
"('periplasmic', 'core', 'domain')",4
"('MacB-like', 'periplasmic', 'core')",4
"('Capsule', 'synthesis', 'protein')",4
"('nascent', 'membrane', 'proteins')",4
"('The', 'alpha', 'chain')",4
"('methylideneamino', 'imidazole-4-carboxamide', 'isomerase')",4
